,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
34,34,5594,MAPK1,-,1938,331,7.404e-268,28241849,(p=9.66e-05),,24607276,(p=9.98e-05),,22033920,(p=1.00e-04),,26310353,(p=1.03e-04),,18519678,(p=1.08e-04),,17526808,(p=1.16e-04),,17317670,(p=1.17e-04),,20087064,(p=1.18e-04),,25398317,(p=1.18e-04),,22271254,(p=1.20e-04),
35,35,596,BCL2,-,1761,313,1.128e-264,12151395,(p=9.84e-05),,23504944,(p=1.07e-04),,28379541,(p=1.13e-04),,25885284,(p=1.18e-04),,24599950,(p=1.20e-04),,23624503,(p=1.22e-04),,20045442,(p=1.22e-04),,27468725,(p=1.22e-04),,25384499,(p=2.00e-04),,26878773,(p=2.00e-04),
36,36,8452,CUL3,-,242,148,1.473e-261,26976604,(p=7.40e-05),,17439941,(p=8.13e-05),,28499918,(p=8.51e-05),,26906416,(p=8.64e-05),,25349211,(p=8.78e-05),,21778237,(p=9.01e-05),,16449638,(p=9.04e-05),,17254749,(p=9.19e-05),,17192413,(p=9.21e-05),,15448697,(p=9.35e-05),
37,37,3320,HSP90AA1,-,908,231,6.029e-258,18247557,(p=9.25e-05),,22271573,(p=1.10e-04),,24682747,(p=1.10e-04),,24927996,(p=1.13e-04),,24463348,(p=1.15e-04),,22144665,(p=1.15e-04),,18655187,(p=1.16e-04),,21372220,(p=1.16e-04),,22367781,(p=1.17e-04),,16037132,(p=1.17e-04),
38,38,1111,CHEK1,-,455,178,6.327e-255,15688426,(p=1.12e-04),,26988986,(p=1.15e-04),,21212274,(p=1.15e-04),,15705874,(p=1.18e-04),,24098799,(p=1.20e-04),,27310928,(p=1.21e-04),,29074359,(p=1.22e-04),,25460505,(p=1.22e-04),,12813133,(p=1.23e-04),,12150968,(p=1.23e-04),
39,39,2309,FOXO3,-,513,185,3.01e-254,26310353,(p=1.03e-04),,18312651,(p=1.07e-04),,25122426,(p=1.15e-04),,26470790,(p=1.16e-04),,20966391,(p=1.16e-04),,21841822,(p=1.16e-04),,27881235,(p=1.16e-04),,20169663,(p=1.19e-04),,24766860,(p=1.19e-04),,25791921,(p=1.20e-04),
40,40,3480,IGF1R,-,955,225,1.331e-245,24970814,(p=1.11e-04),,21372220,(p=1.16e-04),,20417200,(p=1.17e-04),,23515613,(p=1.18e-04),,23818948,(p=1.21e-04),,26156803,(p=1.21e-04),,17419944,(p=2.02e-04),,12697834,(p=2.02e-04),,23056576,(p=3.00e-04),,26497996,(p=3.01e-04),
41,41,1642,DDB1,-,310,151,1.57e-244,26976604,(p=7.40e-05),,26906416,(p=8.64e-05),,15448697,(p=9.35e-05),,21628527,(p=9.98e-05),,24719410,(p=1.00e-04),,16473935,(p=1.00e-04),,22767593,(p=1.03e-04),,28202763,(p=1.05e-04),,26021757,(p=1.06e-04),,27029275,(p=1.07e-04),
42,42,5925,RB1,-,1124,237,3.305e-242,23001041,(p=1.07e-04),,25703327,(p=1.08e-04),,21139044,(p=1.16e-04),,24485087,(p=1.20e-04),,25028469,(p=1.21e-04),,24823443,(p=1.22e-04),,23949216,(p=1.23e-04),,19477924,(p=1.23e-04),,17187060,(p=1.23e-04),,18697743,(p=1.24e-04),
43,43,836,CASP3,-,1069,232,5.855e-242,18060501,(p=7.97e-05),,17217622,(p=9.59e-05),,24607276,(p=9.98e-05),,19838207,(p=1.13e-04),,21724551,(p=1.15e-04),,26762417,(p=1.18e-04),,20045442,(p=1.22e-04),,25435190,(p=1.23e-04),,23545262,(p=2.00e-04),,11696595,(p=2.01e-04),
44,44,595,CCND1,-,1381,256,6.444e-240,11311237,(p=1.06e-04),,19412162,(p=1.13e-04),,17438373,(p=1.14e-04),,22814742,(p=1.19e-04),,19143767,(p=1.21e-04),,20515940,(p=1.21e-04),,18431519,(p=1.22e-04),,28349562,(p=1.22e-04),,19071090,(p=2.01e-04),,9736735,(p=2.01e-04),
45,45,4738,NEDD8,-,168,122,6.613e-240,24245672,(p=7.04e-05),,20850415,(p=7.20e-05),,22004789,(p=7.28e-05),,24130483,(p=7.32e-05),,28475037,(p=7.42e-05),,26003431,(p=7.75e-05),,11953428,(p=8.28e-05),,18851830,(p=8.50e-05),,15988528,(p=8.68e-05),,25349211,(p=8.78e-05),
46,46,1017,CDK2,-,717,194,1.864e-235,28655764,(p=9.76e-05),,24444383,(p=1.15e-04),,19686743,(p=1.15e-04),,25483090,(p=1.18e-04),,10447003,(p=1.20e-04),,27629878,(p=1.23e-04),,23479742,(p=1.23e-04),,27259234,(p=2.01e-04),,25860957,(p=2.01e-04),,19631451,(p=2.01e-04),
47,47,1432,MAPK14,-,1249,238,2.361e-232,21858220,(p=1.05e-04),,20169663,(p=1.19e-04),,16982329,(p=1.22e-04),,17373649,(p=2.00e-04),,22053010,(p=2.02e-04),,27401020,(p=3.02e-04),,21220911,(p=3.03e-04),,19433314,(p=3.03e-04),,19885551,(p=3.04e-04),,25086905,(p=4.00e-04),
48,48,7428,VHL,-,662,186,3.527e-232,18173839,(p=7.92e-05),,18424433,(p=8.09e-05),,17439941,(p=8.13e-05),,17132228,(p=9.99e-05),,23401859,(p=1.02e-04),,14985465,(p=1.06e-04),,24469044,(p=1.08e-04),,10535940,(p=1.10e-04),,15966899,(p=1.11e-04),,27517496,(p=1.17e-04),
49,49,5599,MAPK8,-,927,210,4.135e-231,28617439,(p=9.42e-05),,25341038,(p=1.10e-04),,18594007,(p=1.19e-04),,18813780,(p=1.22e-04),,16982329,(p=1.22e-04),,24040019,(p=3.00e-04),,19060920,(p=3.00e-04),,26418950,(p=3.02e-04),,27401020,(p=3.02e-04),,17908987,(p=3.02e-04),
50,50,4233,MET,-,1039,218,2.743e-229,23348694,(p=1.10e-04),,23671132,(p=1.11e-04),,25908454,(p=1.15e-04),,23381625,(p=1.16e-04),,20661229,(p=1.19e-04),,25728680,(p=1.20e-04),,23992325,(p=1.21e-04),,23360489,(p=1.22e-04),,21423210,(p=1.23e-04),,26580964,(p=1.24e-04),
51,51,5290,PIK3CA,-,1251,234,4.324e-228,26499488,(p=1.10e-04),,22905202,(p=1.11e-04),,23832540,(p=1.18e-04),,22351695,(p=1.19e-04),,28098872,(p=1.19e-04),,21816939,(p=1.20e-04),,23743572,(p=1.20e-04),,26506516,(p=1.22e-04),,24249715,(p=2.01e-04),,25501831,(p=2.01e-04),
52,52,5595,MAPK3,-,1306,238,7.969e-228,17526808,(p=1.16e-04),,17317670,(p=1.17e-04),,20087064,(p=1.18e-04),,25398317,(p=1.18e-04),,27259234,(p=2.01e-04),,20038816,(p=2.01e-04),,22955917,(p=2.01e-04),,20009539,(p=2.01e-04),,24040019,(p=3.00e-04),,25713071,(p=3.00e-04),
53,53,4734,NEDD4,-,278,134,1.148e-222,21813641,(p=8.73e-05),,26720344,(p=1.05e-04),,24413081,(p=1.08e-04),,24657926,(p=1.13e-04),,27793840,(p=1.19e-04),,25547115,(p=1.24e-04),,28714370,(p=2.01e-04),,12697834,(p=2.02e-04),,20676133,(p=3.01e-04),,24107629,(p=3.02e-04),
54,54,5347,PLK1,-,605,171,1.289e-219,24785407,(p=1.11e-04),,25826089,(p=1.15e-04),,21436619,(p=1.15e-04),,27409838,(p=1.16e-04),,25480943,(p=1.21e-04),,22188812,(p=1.22e-04),,19855194,(p=1.23e-04),,21399492,(p=1.23e-04),,27647547,(p=2.00e-04),,23753023,(p=2.01e-04),
55,55,2305,FOXM1,-,363,142,3.1e-216,25391371,(p=9.64e-05),,27526106,(p=1.14e-04),,28482906,(p=1.14e-04),,26148240,(p=1.15e-04),,26918606,(p=1.17e-04),,23531216,(p=1.18e-04),,22049175,(p=1.21e-04),,20068070,(p=1.21e-04),,26790640,(p=1.22e-04),,28416635,(p=1.23e-04),
56,56,8837,CFLAR,-,344,139,2.844e-215,22864571,(p=1.02e-04),,27607580,(p=1.05e-04),,26142735,(p=1.09e-04),,23256568,(p=1.17e-04),,19838173,(p=1.18e-04),,22948392,(p=1.21e-04),,26195820,(p=2.01e-04),,23319802,(p=2.02e-04),,26992204,(p=3.02e-04),,24488010,(p=3.02e-04),
57,57,2064,ERBB2,-,2547,301,1.085e-210,25766325,(p=1.05e-04),,22767218,(p=1.16e-04),,18655187,(p=1.16e-04),,28450158,(p=1.16e-04),,28468774,(p=1.17e-04),,21503962,(p=1.18e-04),,18725974,(p=1.20e-04),,19077306,(p=1.22e-04),,24044505,(p=1.23e-04),,26637440,(p=1.23e-04),
58,58,329,BIRC2,-,249,123,2.272e-210,23524849,(p=1.11e-04),,29191979,(p=1.12e-04),,17613533,(p=1.12e-04),,22212761,(p=1.14e-04),,24577083,(p=1.17e-04),,21113135,(p=1.17e-04),,22815481,(p=1.17e-04),,12525502,(p=1.18e-04),,18434593,(p=1.21e-04),,25681446,(p=1.22e-04),
59,59,867,CBL,-,628,166,8.352e-210,26142735,(p=1.09e-04),,25737303,(p=1.13e-04),,25348515,(p=1.14e-04),,27472394,(p=1.16e-04),,22623369,(p=1.21e-04),,16982329,(p=1.22e-04),,23457600,(p=2.01e-04),,15728256,(p=2.02e-04),,22310290,(p=2.02e-04),,17675467,(p=3.01e-04),
60,60,23411,SIRT1,-,1010,197,1.823e-208,16998474,(p=1.07e-04),,26646449,(p=1.14e-04),,25445714,(p=1.14e-04),,21841822,(p=1.16e-04),,28196907,(p=1.19e-04),,17806102,(p=1.22e-04),,22389628,(p=1.24e-04),,26225773,(p=1.24e-04),,25632225,(p=2.01e-04),,21289058,(p=2.01e-04),
61,61,10018,BCL2L11,-,424,144,6.899e-208,17927446,(p=1.11e-04),,19622586,(p=1.14e-04),,23500081,(p=1.19e-04),,23912711,(p=1.19e-04),,20885957,(p=2.02e-04),,25375379,(p=3.00e-04),,19050264,(p=3.01e-04),,23532334,(p=3.01e-04),,26418950,(p=3.02e-04),,19148187,(p=3.03e-04),
62,62,4851,NOTCH1,-,1098,202,1.143e-206,25213258,(p=1.13e-04),,23289374,(p=1.17e-04),,18593923,(p=1.17e-04),,24885920,(p=1.20e-04),,28143869,(p=1.21e-04),,21679465,(p=1.23e-04),,21119685,(p=1.23e-04),,28459460,(p=1.24e-04),,24141420,(p=2.01e-04),,17909182,(p=2.02e-04),
