,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
31,31,3845,KRAS,-,2028,138,2.797e-104,21586612,(p=4.05e-04),,27439864,(p=4.06e-04),,20395213,(p=4.08e-04),,23092099,(p=5.00e-04),,24011934,(p=7.01e-04),,19307945,(p=9.02e-04),,20855820,(p=1.00e-03),,19884551,(p=1.00e-03),,24374738,(p=1.10e-03),,20159991,(p=1.10e-03),
32,32,5599,MAPK8,-,927,96,7.063e-101,12149229,(p=2.13e-04),,16912864,(p=4.01e-04),,17008315,(p=4.07e-04),,14551213,(p=5.00e-04),,12763138,(p=6.00e-04),,17942603,(p=7.02e-04),,21931671,(p=1.30e-03),,27941886,(p=1.30e-03),,9872331,(p=1.40e-03),,23891538,(p=1.60e-03),
33,33,5156,PDGFRA,-,440,74,1.403e-100,22523564,(p=9.85e-05),,18706197,(p=2.09e-04),,9484840,(p=4.02e-04),,22447844,(p=7.01e-04),,23621172,(p=8.00e-04),,20589679,(p=1.10e-03),,17452978,(p=1.20e-03),,25621775,(p=1.30e-03),,25380967,(p=1.60e-03),,29019285,(p=1.60e-03),
34,34,7297,TYK2,-,168,56,1.894e-100,16239216,(p=2.15e-04),,9417082,(p=2.15e-04),,11201744,(p=2.15e-04),,9974409,(p=2.16e-04),,7657660,(p=4.02e-04),,9484840,(p=4.02e-04),,11430697,(p=4.03e-04),,10995743,(p=4.03e-04),,8657151,(p=4.07e-04),,23471820,(p=4.07e-04),
35,35,238,ALK,-,529,76,3.571e-97,16153455,(p=4.02e-04),,26973324,(p=4.02e-04),,11850821,(p=7.01e-04),,15161657,(p=1.00e-03),,24288180,(p=1.00e-03),,27879258,(p=1.20e-03),,21847362,(p=1.30e-03),,26147305,(p=1.30e-03),,16254137,(p=1.40e-03),,24218456,(p=1.60e-03),
36,36,3458,IFNG,-,1755,120,1.242e-96,24463275,(p=9.43e-05),,12223098,(p=2.02e-04),,21752694,(p=2.12e-04),,25982278,(p=2.16e-04),,19622834,(p=2.16e-04),,15604419,(p=3.00e-04),,12060750,(p=4.01e-04),,18192275,(p=4.01e-04),,26676749,(p=4.04e-04),,16427044,(p=7.01e-04),
37,37,811,CALR,-,386,68,4.844e-96,28314843,(p=9.59e-05),,24325356,(p=1.05e-04),,27013444,(p=1.06e-04),,25553276,(p=1.08e-04),,27486987,(p=1.11e-04),,24325359,(p=1.11e-04),,27686171,(p=1.14e-04),,27185380,(p=1.15e-04),,26377485,(p=1.15e-04),,26375990,(p=1.17e-04),
38,38,5294,PIK3CG,-,412,65,1.3e-89,19815050,(p=2.14e-04),,11861293,(p=5.01e-04),,17942603,(p=7.02e-04),,19152965,(p=1.00e-03),,19492417,(p=1.00e-03),,19531027,(p=1.20e-03),,15496972,(p=1.30e-03),,17551921,(p=2.20e-03),,18725974,(p=2.50e-03),,19723646,(p=2.60e-03),
39,39,2065,ERBB3,-,443,65,1.721e-87,24449784,(p=2.15e-04),,23866081,(p=6.01e-04),,27793840,(p=1.00e-03),,25471734,(p=1.20e-03),,24044505,(p=1.20e-03),,21278786,(p=1.30e-03),,21918175,(p=1.60e-03),,24667376,(p=1.80e-03),,11821958,(p=1.90e-03),,26116360,(p=2.20e-03),
40,40,2932,GSK3B,-,1118,88,2.694e-85,26157031,(p=4.02e-04),,27780915,(p=1.00e-03),,22087308,(p=1.10e-03),,23820376,(p=1.10e-03),,21471285,(p=1.30e-03),,22286758,(p=1.70e-03),,19188159,(p=1.80e-03),,25846563,(p=1.80e-03),,19584164,(p=2.20e-03),,22534782,(p=2.20e-03),
41,41,5728,PTEN,-,1903,108,3.307e-83,23963458,(p=7.01e-04),,21763505,(p=1.00e-03),,21358673,(p=1.00e-03),,19055754,(p=1.20e-03),,25146530,(p=1.20e-03),,24141770,(p=1.30e-03),,17911267,(p=1.30e-03),,24531711,(p=1.40e-03),,24743220,(p=1.50e-03),,24603487,(p=1.60e-03),
42,42,3576,CXCL8,-,2021,110,2.295e-82,24463275,(p=9.43e-05),,21300928,(p=1.02e-04),,24706000,(p=1.22e-04),,18523665,(p=2.02e-04),,23445878,(p=2.14e-04),,25744832,(p=4.02e-04),,27038552,(p=4.05e-04),,27567247,(p=1.10e-03),,19484147,(p=1.20e-03),,18322253,(p=1.70e-03),
43,43,3572,IL6ST,-,240,51,6.249e-82,20585009,(p=2.01e-04),,12782602,(p=2.02e-04),,11786531,(p=4.05e-04),,16909117,(p=4.08e-04),,23782265,(p=4.08e-04),,9126968,(p=5.01e-04),,11742534,(p=6.01e-04),,15677447,(p=9.00e-04),,11920233,(p=9.01e-04),,8662591,(p=9.02e-04),
44,44,6850,SYK,-,463,59,8.155e-78,19549911,(p=1.17e-04),,24286216,(p=2.13e-04),,26315286,(p=4.00e-04),,24313320,(p=6.00e-04),,23396081,(p=9.00e-04),,21438742,(p=9.02e-04),,26910509,(p=1.10e-03),,19092849,(p=1.20e-03),,20133729,(p=1.20e-03),,17130299,(p=1.30e-03),
45,45,5008,OSM,-,142,42,3.209e-77,22051730,(p=2.07e-04),,15712220,(p=2.07e-04),,11777927,(p=2.14e-04),,27892764,(p=4.02e-04),,21481226,(p=4.05e-04),,17604327,(p=5.00e-04),,15837947,(p=7.00e-04),,20661773,(p=7.01e-04),,23621172,(p=8.00e-04),,18981157,(p=1.00e-03),
46,46,5781,PTPN11,-,663,65,4.833e-76,24860972,(p=9.91e-05),,25026279,(p=4.04e-04),,10976913,(p=4.04e-04),,14522994,(p=4.06e-04),,17272397,(p=4.07e-04),,22942432,(p=4.08e-04),,18246201,(p=8.00e-04),,10617656,(p=9.00e-04),,10449753,(p=9.02e-04),,11036942,(p=9.02e-04),
47,47,6773,STAT2,-,166,43,7.198e-76,29031523,(p=2.04e-04),,18771758,(p=2.16e-04),,12039028,(p=4.04e-04),,28250121,(p=4.08e-04),,27855377,(p=5.01e-04),,10506573,(p=7.01e-04),,10446176,(p=7.02e-04),,9724754,(p=9.02e-04),,18796709,(p=9.03e-04),,25773664,(p=1.20e-03),
48,48,7157,TP53,-,8709,238,8.409e-76,25516983,(p=1.13e-04),,27605672,(p=1.19e-04),,24272483,(p=4.04e-04),,19825993,(p=4.06e-04),,15358195,(p=9.01e-04),,26512780,(p=9.02e-04),,23178494,(p=1.10e-03),,26556860,(p=1.20e-03),,28223278,(p=1.20e-03),,23578198,(p=1.20e-03),
49,49,7422,VEGFA,-,4154,148,1.035e-75,24463275,(p=9.43e-05),,28618089,(p=2.09e-04),,18494554,(p=3.00e-04),,25641338,(p=4.03e-04),,26566627,(p=4.03e-04),,26869278,(p=4.07e-04),,25889301,(p=4.07e-04),,18024322,(p=5.00e-04),,20331634,(p=6.00e-04),,15665295,(p=6.01e-04),
50,50,558,AXL,-,235,47,1.355e-75,27856601,(p=4.06e-04),,23982172,(p=1.20e-03),,28251492,(p=1.20e-03),,21132014,(p=1.40e-03),,20818175,(p=1.70e-03),,27852702,(p=1.80e-03),,25767293,(p=1.80e-03),,28440492,(p=2.50e-03),,26848524,(p=2.60e-03),,23117882,(p=2.60e-03),
51,51,8743,TNFSF10,-,776,67,4.431e-74,24390815,(p=2.13e-04),,20417200,(p=9.01e-04),,17070520,(p=9.01e-04),,15459016,(p=1.20e-03),,27176505,(p=1.60e-03),,21670755,(p=1.70e-03),,17947462,(p=1.70e-03),,25445452,(p=2.20e-03),,28429751,(p=2.50e-03),,22462553,(p=2.70e-03),
52,52,5159,PDGFRB,-,434,55,7.294e-74,9484840,(p=4.02e-04),,8657151,(p=4.07e-04),,11861293,(p=5.01e-04),,21097719,(p=1.00e-03),,18524994,(p=1.20e-03),,29133777,(p=1.20e-03),,17229632,(p=1.20e-03),,20197394,(p=1.30e-03),,25292412,(p=1.30e-03),,19636022,(p=1.80e-03),
53,53,332,BIRC5,-,1116,76,3.288e-73,17533050,(p=2.01e-04),,19781773,(p=2.10e-04),,20072652,(p=4.01e-04),,12393476,(p=7.01e-04),,26191195,(p=8.00e-04),,20506498,(p=1.00e-03),,15077160,(p=1.10e-03),,18593915,(p=1.10e-03),,21367753,(p=1.60e-03),,15735703,(p=1.70e-03),
54,54,5604,MAP2K1,-,386,52,2.556e-72,27956260,(p=6.01e-04),,24011934,(p=7.01e-04),,15297310,(p=1.00e-03),,22805292,(p=1.20e-03),,12689928,(p=1.40e-03),,22805291,(p=1.40e-03),,18569454,(p=1.50e-03),,19014680,(p=1.60e-03),,24132923,(p=1.70e-03),,26324360,(p=1.80e-03),
55,55,29126,CD274,-,734,64,4.205e-72,27499357,(p=2.00e-04),,26762740,(p=2.02e-04),,28062906,(p=2.09e-04),,26676749,(p=4.04e-04),,28275115,(p=7.00e-04),,28274999,(p=1.20e-03),,27470968,(p=1.20e-03),,25658629,(p=1.30e-03),,28112370,(p=1.30e-03),,20628145,(p=1.40e-03),
56,56,5747,PTK2,-,828,66,3.771e-71,16007195,(p=2.01e-04),,21643014,(p=9.01e-04),,26892465,(p=9.02e-04),,25456130,(p=1.00e-03),,26962872,(p=1.10e-03),,27293031,(p=1.20e-03),,10925297,(p=1.20e-03),,25971297,(p=1.20e-03),,18263593,(p=1.30e-03),,28533307,(p=1.30e-03),
57,57,4851,NOTCH1,-,1098,72,1.225e-69,25213258,(p=4.04e-04),,26967055,(p=6.00e-04),,25849484,(p=9.01e-04),,25544568,(p=1.20e-03),,25192910,(p=1.30e-03),,18663146,(p=1.30e-03),,23733784,(p=1.30e-03),,21326611,(p=1.30e-03),,27941886,(p=1.30e-03),,28122586,(p=1.40e-03),
58,58,7040,TGFB1,-,3801,129,3.722e-69,25982278,(p=2.16e-04),,18801363,(p=4.00e-04),,20801055,(p=4.02e-04),,27107963,(p=4.07e-04),,17157157,(p=8.00e-04),,25885043,(p=1.00e-03),,25740948,(p=1.10e-03),,22641218,(p=1.30e-03),,27330076,(p=1.30e-03),,18335503,(p=1.30e-03),
59,59,5777,PTPN6,-,366,49,4.349e-69,25824741,(p=7.89e-05),,20068065,(p=1.17e-04),,20196786,(p=2.04e-04),,26508024,(p=2.13e-04),,14630083,(p=2.14e-04),,14976049,(p=4.01e-04),,17272397,(p=4.07e-04),,14551136,(p=4.08e-04),,10506573,(p=7.01e-04),,10617656,(p=9.00e-04),
60,60,6790,AURKA,-,611,57,3.04e-68,24953013,(p=1.22e-04),,24930769,(p=4.00e-04),,28764929,(p=1.00e-03),,27502708,(p=1.00e-03),,24874015,(p=1.20e-03),,23334327,(p=1.20e-03),,19649632,(p=1.30e-03),,20382844,(p=1.60e-03),,25625960,(p=1.60e-03),,28069801,(p=1.70e-03),
61,61,10018,BCL2L11,-,424,50,2.557e-67,21247487,(p=9.31e-05),,20160166,(p=1.17e-04),,19064725,(p=4.02e-04),,17927446,(p=7.01e-04),,26917778,(p=1.30e-03),,26287412,(p=1.70e-03),,26874859,(p=1.70e-03),,25174872,(p=1.80e-03),,26639561,(p=1.80e-03),,23532334,(p=1.80e-03),
