,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
28,28,5970,RELA,-,1309,206,4.072e-195,21816815,(p=1.23e-04),,16683270,(p=2.01e-04),,12138131,(p=2.03e-04),,16483679,(p=3.01e-04),,20706634,(p=5.02e-04),,19912635,(p=6.00e-04),,20651843,(p=6.01e-04),,22634383,(p=6.03e-04),,16319923,(p=7.00e-04),,10777532,(p=7.00e-04),
29,29,25942,SIN3A,-,259,116,2.932e-194,10737769,(p=1.28e-04),,18059533,(p=1.30e-04),,20935208,(p=2.00e-04),,12091390,(p=2.03e-04),,20920219,(p=3.04e-04),,12634383,(p=3.07e-04),,14647463,(p=3.07e-04),,9627120,(p=4.00e-04),,16254079,(p=4.01e-04),,9486654,(p=5.00e-04),
30,30,2064,ERBB2,-,2547,272,3.648e-189,25766325,(p=2.01e-04),,23536719,(p=2.03e-04),,28468774,(p=3.06e-04),,18211286,(p=4.01e-04),,26437915,(p=5.02e-04),,20459769,(p=5.02e-04),,26107737,(p=6.02e-04),,24664246,(p=6.04e-04),,20453888,(p=6.04e-04),,24044505,(p=7.01e-04),
31,31,2309,FOXO3,-,513,140,4.026e-188,20733005,(p=1.19e-04),,23966291,(p=1.22e-04),,27452907,(p=1.24e-04),,26310353,(p=2.00e-04),,18393360,(p=3.06e-04),,18312651,(p=3.07e-04),,21860419,(p=3.08e-04),,22833338,(p=4.01e-04),,26375988,(p=5.01e-04),,20169663,(p=5.01e-04),
32,32,3480,IGF1R,-,955,175,6.088e-188,21931726,(p=1.25e-04),,23818948,(p=5.01e-04),,20417200,(p=5.02e-04),,26450156,(p=6.00e-04),,23515613,(p=6.01e-04),,21330319,(p=7.01e-04),,21372220,(p=7.02e-04),,19996272,(p=1.00e-03),,20154720,(p=1.00e-03),,22044563,(p=1.10e-03),
33,33,5594,MAPK1,-,1938,233,5.974e-185,26310353,(p=2.00e-04),,28241849,(p=3.04e-04),,24300974,(p=3.06e-04),,27293079,(p=4.01e-04),,18787043,(p=5.00e-04),,24607276,(p=5.01e-04),,17526808,(p=5.01e-04),,22848708,(p=6.00e-04),,20038816,(p=6.00e-04),,20009539,(p=6.02e-04),
34,34,1027,CDKN1B,-,929,170,2.355e-184,15557281,(p=1.20e-04),,26682002,(p=1.25e-04),,23982416,(p=1.25e-04),,17311291,(p=1.25e-04),,21054888,(p=1.26e-04),,18393360,(p=3.06e-04),,25143434,(p=3.07e-04),,25821107,(p=9.00e-04),,12210483,(p=9.02e-04),,21062737,(p=1.00e-03),
35,35,5290,PIK3CA,-,1251,190,7.226e-183,27507059,(p=1.14e-04),,23624506,(p=3.05e-04),,24249715,(p=5.02e-04),,24105357,(p=6.01e-04),,23743572,(p=6.01e-04),,24011934,(p=6.01e-04),,29021135,(p=6.03e-04),,22905202,(p=6.05e-04),,23136191,(p=8.01e-04),,22351695,(p=8.01e-04),
36,36,595,CCND1,-,1381,190,4.939e-175,17606765,(p=1.15e-04),,18949380,(p=1.26e-04),,15870300,(p=3.05e-04),,15713663,(p=4.00e-04),,19440933,(p=6.02e-04),,12138206,(p=6.04e-04),,20484017,(p=6.04e-04),,17344214,(p=7.00e-04),,17881732,(p=7.01e-04),,26279304,(p=8.00e-04),
37,37,836,CASP3,-,1069,165,1.377e-168,21724551,(p=1.16e-04),,26762417,(p=3.04e-04),,24810717,(p=3.05e-04),,25435190,(p=5.00e-04),,24607276,(p=5.01e-04),,20045442,(p=5.02e-04),,20038816,(p=6.00e-04),,21944661,(p=8.00e-04),,19996272,(p=1.00e-03),,20072652,(p=1.10e-03),
38,38,331,XIAP,-,499,125,2.224e-168,23900601,(p=2.02e-04),,27607580,(p=3.01e-04),,22776562,(p=3.07e-04),,12855663,(p=4.00e-04),,17339366,(p=5.00e-04),,20484174,(p=6.04e-04),,18829553,(p=9.02e-04),,24603802,(p=1.00e-03),,18049476,(p=1.00e-03),,25501831,(p=1.00e-03),
39,39,367,AR,-,2103,219,1.849e-166,21242980,(p=3.00e-04),,27499010,(p=3.02e-04),,28468774,(p=3.06e-04),,18787043,(p=5.00e-04),,14612401,(p=5.01e-04),,11994312,(p=5.01e-04),,16860317,(p=5.03e-04),,22456197,(p=6.02e-04),,19805354,(p=6.02e-04),,18413735,(p=6.03e-04),
40,40,2305,FOXM1,-,363,111,1.698e-165,25391371,(p=1.28e-04),,21860419,(p=3.08e-04),,23857410,(p=4.02e-04),,23531216,(p=5.02e-04),,28482906,(p=5.03e-04),,26316295,(p=6.03e-04),,25760224,(p=6.04e-04),,26918606,(p=9.02e-04),,20068070,(p=1.00e-03),,22049175,(p=1.10e-03),
41,41,5925,RB1,-,1124,162,6.197e-162,15763542,(p=3.00e-04),,15927959,(p=3.02e-04),,24747969,(p=3.06e-04),,17015477,(p=3.07e-04),,21900881,(p=4.01e-04),,21139044,(p=5.02e-04),,11283269,(p=6.00e-04),,20971808,(p=6.03e-04),,9468139,(p=7.01e-04),,11909966,(p=7.01e-04),
42,42,8795,TNFRSF10B,-,324,105,6.347e-162,22266862,(p=1.22e-04),,26024393,(p=3.05e-04),,22824792,(p=5.01e-04),,27612013,(p=5.02e-04),,23053497,(p=5.02e-04),,24895135,(p=5.02e-04),,21801305,(p=7.00e-04),,12805378,(p=9.02e-04),,27387452,(p=1.00e-03),,18599488,(p=1.00e-03),
