,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
30,30,8743,TNFSF10,-,776,217,2.831e-253,17420249,(p=1.09e-04),,20417200,(p=3.01e-04),,22462553,(p=3.02e-04),,17900262,(p=3.06e-04),,12140294,(p=3.07e-04),,18599181,(p=3.08e-04),,23456625,(p=3.13e-04),,17431115,(p=3.13e-04),,15619633,(p=3.15e-04),,24675460,(p=4.00e-04),
31,31,4609,MYC,-,1745,279,2.488e-231,28073841,(p=9.70e-05),,22710719,(p=1.04e-04),,28075459,(p=1.07e-04),,24444383,(p=1.08e-04),,21949397,(p=1.11e-04),,25411027,(p=1.12e-04),,21054888,(p=3.02e-04),,18722373,(p=3.02e-04),,18393360,(p=3.06e-04),,23455633,(p=3.07e-04),
32,32,1499,CTNNB1,-,2298,316,9.604e-230,27835591,(p=1.04e-04),,23707389,(p=1.06e-04),,19060929,(p=1.07e-04),,21949397,(p=1.11e-04),,25061104,(p=3.02e-04),,27780915,(p=3.03e-04),,26831064,(p=3.03e-04),,27481517,(p=3.06e-04),,28321124,(p=3.08e-04),,26068882,(p=3.09e-04),
33,33,596,BCL2,-,1761,277,1.487e-228,21708043,(p=1.07e-04),,12101183,(p=1.10e-04),,28379541,(p=1.11e-04),,25815462,(p=3.00e-04),,9738012,(p=3.03e-04),,18343029,(p=3.04e-04),,11326318,(p=3.05e-04),,11774038,(p=3.05e-04),,28652654,(p=3.06e-04),,11368354,(p=3.06e-04),
34,34,595,CCND1,-,1381,241,4.805e-221,19556892,(p=3.04e-04),,26671528,(p=3.07e-04),,18431519,(p=3.10e-04),,20072652,(p=3.10e-04),,19412162,(p=3.10e-04),,28349562,(p=3.11e-04),,15688030,(p=3.12e-04),,27798882,(p=3.12e-04),,8999999,(p=3.12e-04),,19903334,(p=3.13e-04),
35,35,5580,PRKCD,-,621,175,4.776e-219,24528676,(p=1.02e-04),,27196755,(p=1.11e-04),,19015273,(p=3.09e-04),,12805378,(p=3.09e-04),,25625567,(p=3.11e-04),,11901191,(p=3.13e-04),,17374730,(p=3.13e-04),,23474764,(p=3.13e-04),,16646678,(p=3.15e-04),,19037087,(p=3.15e-04),
36,36,1457,CSNK2A1,-,688,169,1.096e-202,24012109,(p=9.90e-05),,18566754,(p=1.07e-04),,11704824,(p=2.00e-04),,21750986,(p=2.00e-04),,25379016,(p=3.01e-04),,27129302,(p=3.03e-04),,25241897,(p=3.05e-04),,21871133,(p=3.07e-04),,21702981,(p=3.10e-04),,21624135,(p=3.11e-04),
37,37,2305,FOXM1,-,363,136,1.204e-202,25391371,(p=9.06e-05),,28482906,(p=1.05e-04),,25808837,(p=1.09e-04),,20351091,(p=1.11e-04),,20823107,(p=3.03e-04),,26918606,(p=3.03e-04),,28114286,(p=3.04e-04),,23531216,(p=3.06e-04),,27185371,(p=3.08e-04),,23006512,(p=3.11e-04),
38,38,1019,CDK4,-,482,149,2.915e-202,19225156,(p=9.13e-05),,24444383,(p=1.08e-04),,27986745,(p=1.08e-04),,20354191,(p=3.03e-04),,16205633,(p=3.03e-04),,19556892,(p=3.04e-04),,18632627,(p=3.06e-04),,15147269,(p=3.06e-04),,21871133,(p=3.07e-04),,21278246,(p=3.08e-04),
39,39,2309,FOXO3,-,513,152,5.07e-202,26310353,(p=1.03e-04),,18593906,(p=1.07e-04),,25791921,(p=1.08e-04),,18312651,(p=1.08e-04),,27881235,(p=1.11e-04),,22971992,(p=3.02e-04),,22978663,(p=3.04e-04),,24766860,(p=3.05e-04),,20169663,(p=3.05e-04),,20978166,(p=3.05e-04),
40,40,1869,E2F1,-,703,164,1.333e-194,18722373,(p=3.02e-04),,14681231,(p=3.05e-04),,26833126,(p=3.07e-04),,20855524,(p=3.12e-04),,12065845,(p=3.12e-04),,28068326,(p=3.13e-04),,25174355,(p=3.14e-04),,15187102,(p=4.01e-04),,25788226,(p=4.01e-04),,16299810,(p=5.00e-04),
41,41,472,ATM,-,1126,195,4.651e-193,17510082,(p=3.04e-04),,19527713,(p=3.06e-04),,23163762,(p=3.07e-04),,19881958,(p=3.07e-04),,26563132,(p=3.08e-04),,11943150,(p=3.09e-04),,26825989,(p=3.09e-04),,19412162,(p=3.10e-04),,27197168,(p=3.11e-04),,20599567,(p=3.13e-04),
42,42,4193,MDM2,-,1687,231,2.876e-192,24240108,(p=9.42e-05),,24349524,(p=1.07e-04),,27736841,(p=3.01e-04),,27129302,(p=3.03e-04),,25501825,(p=3.04e-04),,14702041,(p=3.05e-04),,26431163,(p=3.05e-04),,26070072,(p=3.05e-04),,27004407,(p=3.05e-04),,27927748,(p=3.06e-04),
43,43,10018,BCL2L11,-,424,136,8.14e-192,17927446,(p=1.04e-04),,17538248,(p=1.08e-04),,23382048,(p=1.11e-04),,24830786,(p=3.01e-04),,22270368,(p=3.03e-04),,19622586,(p=3.03e-04),,20237869,(p=3.08e-04),,23532334,(p=3.09e-04),,23912711,(p=3.09e-04),,27986747,(p=3.10e-04),
44,44,5294,PIK3CG,-,412,134,1.097e-190,18725974,(p=3.04e-04),,20124452,(p=3.10e-04),,18652687,(p=3.11e-04),,14605879,(p=3.12e-04),,19621391,(p=3.13e-04),,18194602,(p=3.14e-04),,11861293,(p=3.14e-04),,18451140,(p=3.14e-04),,14583609,(p=3.15e-04),,20657188,(p=4.01e-04),
