,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
29,29,861,RUNX1,-,587,26,2.218e-29,15203865,(p=1.21e-04),,22753902,(p=1.27e-04),,23321257,(p=2.01e-04),,27506214,(p=1.10e-03),,29055018,(p=1.10e-03),,25082877,(p=1.30e-03),,25596267,(p=1.50e-03),,20682397,(p=1.80e-03),,21869842,(p=2.30e-03),,21343560,(p=2.40e-03),
30,30,7153,TOP2A,-,401,23,2.447e-29,16507781,(p=2.05e-04),,17388661,(p=7.03e-04),,21681601,(p=1.30e-03),,21917518,(p=1.70e-03),,21734419,(p=2.20e-03),,21189395,(p=2.50e-03),,25605014,(p=3.30e-03),,18465341,(p=3.60e-03),,18204862,(p=3.90e-03),,19620488,(p=4.30e-03),
31,31,947,CD34,-,303,21,4.661e-29,23473998,(p=1.50e-03),,23701943,(p=2.30e-03),,26109814,(p=2.60e-03),,20479285,(p=2.70e-03),,19245435,(p=3.00e-03),,23656194,(p=3.00e-03),,18683236,(p=3.10e-03),,24884314,(p=3.10e-03),,21933861,(p=3.50e-03),,25879558,(p=3.90e-03),
32,32,5133,PDCD1,-,584,25,3.216e-28,29304116,(p=1.24e-04),,27354476,(p=1.27e-04),,28643044,(p=4.03e-04),,28468799,(p=7.02e-04),,24127452,(p=1.00e-03),,18494554,(p=1.40e-03),,27881581,(p=2.00e-03),,24270737,(p=2.70e-03),,27059553,(p=3.40e-03),,28062906,(p=4.40e-03),
33,33,1111,CHEK1,-,455,23,3.88e-28,28030834,(p=2.08e-04),,24244429,(p=2.08e-04),,24098799,(p=7.00e-04),,27625304,(p=8.00e-04),,23748345,(p=1.70e-03),,27815358,(p=2.60e-03),,26542114,(p=2.90e-03),,22621920,(p=3.40e-03),,27438145,(p=3.50e-03),,25084614,(p=3.70e-03),
34,34,2944,GSTM1,-,2046,40,2.281e-27,20303013,(p=1.29e-04),,19005482,(p=7.04e-04),,11230469,(p=7.05e-04),,18581889,(p=1.10e-03),,20216541,(p=1.30e-03),,20459744,(p=1.30e-03),,18033323,(p=1.30e-03),,18580952,(p=1.40e-03),,19786980,(p=1.70e-03),,16624155,(p=1.70e-03),
35,35,25,ABL1,-,740,26,5.789e-27,22593461,(p=7.01e-04),,27334764,(p=1.40e-03),,21156844,(p=1.50e-03),,27297971,(p=1.50e-03),,17470736,(p=3.00e-03),,22140458,(p=3.10e-03),,23716543,(p=3.40e-03),,21527514,(p=3.70e-03),,27856601,(p=4.40e-03),,28451802,(p=4.40e-03),
36,36,4363,ABCC1,-,326,20,6.013e-27,11755464,(p=1.29e-04),,17875533,(p=7.00e-04),,24030729,(p=1.60e-03),,12576456,(p=1.70e-03),,18316614,(p=2.20e-03),,19214144,(p=2.60e-03),,22871336,(p=3.00e-03),,24145283,(p=3.10e-03),,20530282,(p=3.40e-03),,19969624,(p=3.50e-03),
37,37,332,BIRC5,-,1116,30,1.168e-26,25294423,(p=3.01e-04),,24127439,(p=7.02e-04),,24886669,(p=1.30e-03),,22645176,(p=2.20e-03),,26557682,(p=2.70e-03),,21470426,(p=3.40e-03),,18593915,(p=4.10e-03),,24460358,(p=4.10e-03),,16529600,(p=4.70e-03),,24961465,(p=4.70e-03),
38,38,7422,VEGFA,-,4154,56,2.458e-26,11940485,(p=2.04e-04),,16507781,(p=2.05e-04),,20026801,(p=7.03e-04),,22417860,(p=7.05e-04),,27177865,(p=1.30e-03),,27727447,(p=1.30e-03),,22833169,(p=1.40e-03),,18494554,(p=1.40e-03),,19047116,(p=1.50e-03),,20631636,(p=1.50e-03),
