,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
28,28,4170,MCL1,-,587,91,2.802e-113,17927446,(p=1.05e-04),,25756510,(p=3.05e-04),,28039357,(p=3.08e-04),,23883584,(p=4.03e-04),,25362855,(p=1.00e-03),,15753661,(p=1.00e-03),,16327976,(p=1.01e-03),,27351224,(p=1.01e-03),,19763916,(p=1.30e-03),,21863213,(p=1.50e-03),
29,29,596,BCL2,-,1761,135,4.068e-109,23588221,(p=3.04e-04),,28428442,(p=4.05e-04),,24606718,(p=4.06e-04),,12400004,(p=9.01e-04),,15520201,(p=1.00e-03),,23542172,(p=1.00e-03),,28379541,(p=1.00e-03),,26286833,(p=1.01e-03),,22433870,(p=1.01e-03),,23861345,(p=1.10e-03),
30,30,4790,NFKB1,-,2819,167,2.421e-107,27091996,(p=1.03e-04),,25028470,(p=1.08e-04),,26871511,(p=3.08e-04),,24137610,(p=4.00e-04),,26333382,(p=4.01e-04),,17620428,(p=4.03e-04),,17927847,(p=9.01e-04),,22145100,(p=9.01e-04),,19885551,(p=1.00e-03),,20716114,(p=1.00e-03),
31,31,5595,MAPK3,-,1306,114,9.832e-105,22722337,(p=3.01e-04),,19147502,(p=4.02e-04),,20837468,(p=5.00e-04),,20726858,(p=9.00e-04),,21607585,(p=9.01e-04),,15173068,(p=9.01e-04),,16813525,(p=1.00e-03),,20072648,(p=1.30e-03),,11960991,(p=1.30e-03),,22388352,(p=1.30e-03),
32,32,5294,PIK3CG,-,412,74,8.513e-103,18625725,(p=1.02e-04),,18025271,(p=3.01e-04),,19609946,(p=3.03e-04),,18725974,(p=3.10e-04),,19567590,(p=1.00e-03),,20124452,(p=1.00e-03),,19636556,(p=1.00e-03),,23500535,(p=1.01e-03),,20622047,(p=1.20e-03),,18587247,(p=1.20e-03),
33,33,3815,KIT,-,935,98,9.301e-103,28760855,(p=5.00e-04),,19540337,(p=5.01e-04),,27068398,(p=9.01e-04),,25510664,(p=1.00e-03),,18754326,(p=1.01e-03),,21157293,(p=1.01e-03),,26544626,(p=1.10e-03),,21993766,(p=1.20e-03),,9788619,(p=1.20e-03),,20197394,(p=1.30e-03),
34,34,5241,PGR,-,675,86,1.76e-101,22697792,(p=3.04e-04),,24036907,(p=4.01e-04),,22496908,(p=4.07e-04),,24021827,(p=9.00e-04),,24469035,(p=1.00e-03),,26340407,(p=1.00e-03),,18202149,(p=1.01e-03),,17006756,(p=1.20e-03),,12554765,(p=1.20e-03),,19676041,(p=1.20e-03),
35,35,595,CCND1,-,1381,113,2.76e-101,27798882,(p=4.03e-04),,21989330,(p=4.04e-04),,15688030,(p=4.06e-04),,15377668,(p=7.00e-04),,18067636,(p=1.00e-03),,17203214,(p=1.01e-03),,24606123,(p=2.20e-03),,19633425,(p=2.20e-03),,20631636,(p=2.20e-03),,19903334,(p=2.20e-03),
36,36,3791,KDR,-,875,94,5.339e-101,27789775,(p=1.10e-04),,27059553,(p=3.10e-04),,20135347,(p=4.01e-04),,28220020,(p=9.01e-04),,20485168,(p=1.00e-03),,25340839,(p=1.00e-03),,18379357,(p=1.00e-03),,20026801,(p=1.00e-03),,20124452,(p=1.00e-03),,21424032,(p=1.10e-03),
37,37,1027,CDKN1B,-,929,96,7.463e-101,21439954,(p=9.79e-05),,27035903,(p=1.04e-04),,25228008,(p=4.03e-04),,15611642,(p=4.03e-04),,25524798,(p=4.04e-04),,15688030,(p=4.06e-04),,12599217,(p=1.00e-03),,23982416,(p=1.30e-03),,12123335,(p=1.30e-03),,21062737,(p=2.10e-03),
38,38,3084,NRG1,-,427,73,3.4e-100,24044505,(p=7.86e-05),,24112719,(p=1.01e-04),,24097984,(p=3.06e-04),,12509456,(p=3.10e-04),,21840482,(p=4.01e-04),,17432114,(p=4.02e-04),,26116360,(p=5.00e-04),,26160848,(p=7.01e-04),,27343990,(p=9.00e-04),,25501131,(p=9.00e-04),
39,39,1026,CDKN1A,-,1511,116,5.025e-100,24706169,(p=3.00e-04),,28757172,(p=4.02e-04),,14580260,(p=4.05e-04),,12599217,(p=1.00e-03),,21616632,(p=1.00e-03),,17388661,(p=1.20e-03),,23982416,(p=1.30e-03),,12123335,(p=1.30e-03),,24467951,(p=2.20e-03),,22321971,(p=2.20e-03),
40,40,3082,HGF,-,693,84,4.297e-98,23045285,(p=9.11e-05),,22435662,(p=1.11e-04),,21423210,(p=3.04e-04),,28341789,(p=3.06e-04),,24800946,(p=1.00e-03),,23386689,(p=1.00e-03),,22242160,(p=1.01e-03),,22413835,(p=1.10e-03),,26716644,(p=1.10e-03),,22763439,(p=1.20e-03),
41,41,29126,CD274,-,734,85,3.167e-97,28341875,(p=3.06e-04),,25658629,(p=3.07e-04),,27499357,(p=3.10e-04),,25349974,(p=3.12e-04),,26424759,(p=4.06e-04),,27470968,(p=7.00e-04),,28684311,(p=8.00e-04),,28230773,(p=1.00e-03),,28275115,(p=1.00e-03),,24815784,(p=1.00e-03),
42,42,9429,ABCG2,-,705,82,4.907e-95,17938326,(p=3.01e-04),,21487020,(p=3.05e-04),,21712253,(p=3.07e-04),,21154157,(p=3.09e-04),,24391798,(p=3.10e-04),,26943330,(p=3.10e-04),,21731744,(p=4.00e-04),,25450670,(p=4.02e-04),,17312388,(p=9.00e-04),,24472707,(p=9.00e-04),
43,43,6790,AURKA,-,611,78,5.324e-95,15504738,(p=3.04e-04),,23334327,(p=5.01e-04),,25362855,(p=1.00e-03),,23186136,(p=1.00e-03),,26141684,(p=1.00e-03),,19649632,(p=1.00e-03),,25634113,(p=1.00e-03),,28764929,(p=1.01e-03),,26443806,(p=1.10e-03),,25625960,(p=1.20e-03),
44,44,2309,FOXO3,-,513,73,3.319e-94,27091996,(p=1.03e-04),,19276163,(p=4.03e-04),,27881235,(p=7.01e-04),,18312651,(p=9.01e-04),,26470790,(p=1.00e-03),,25791921,(p=1.00e-03),,26310353,(p=1.00e-03),,20808831,(p=1.00e-03),,20169663,(p=1.00e-03),,22971992,(p=1.10e-03),
45,45,5156,PDGFRA,-,440,69,1.683e-93,26549034,(p=1.00e-04),,25380967,(p=4.01e-04),,22323597,(p=1.01e-03),,21157293,(p=1.01e-03),,16168125,(p=1.01e-03),,26544626,(p=1.10e-03),,24634380,(p=1.30e-03),,24658140,(p=2.20e-03),,22744707,(p=2.50e-03),,27845909,(p=2.50e-03),
46,46,7852,CXCR4,-,1729,114,2.638e-92,24200972,(p=1.03e-04),,28533307,(p=6.00e-04),,15802268,(p=1.00e-03),,18807177,(p=1.00e-03),,22952422,(p=1.00e-03),,26269605,(p=1.01e-03),,22242160,(p=1.01e-03),,21906588,(p=1.30e-03),,26073897,(p=1.30e-03),,24810923,(p=1.50e-03),
47,47,8795,TNFRSF10B,-,324,62,3.705e-92,21538027,(p=1.00e-03),,28108622,(p=1.20e-03),,23053497,(p=1.30e-03),,28424227,(p=1.70e-03),,19593445,(p=2.00e-03),,20875141,(p=2.20e-03),,24895135,(p=2.20e-03),,27176505,(p=2.20e-03),,18599488,(p=2.20e-03),,19074831,(p=2.40e-03),
48,48,4609,MYC,-,1745,109,1.119e-87,27184134,(p=3.10e-04),,27472392,(p=4.00e-04),,25748238,(p=4.03e-04),,23555992,(p=4.06e-04),,28696357,(p=1.00e-03),,20716114,(p=1.00e-03),,28089283,(p=1.00e-03),,21346144,(p=1.20e-03),,25884680,(p=1.30e-03),,25537515,(p=1.30e-03),
49,49,1969,EPHA2,-,256,55,3.405e-87,21955398,(p=9.76e-05),,20028874,(p=3.06e-04),,26744526,(p=4.02e-04),,20602165,(p=4.05e-04),,15657067,(p=1.00e-03),,18079969,(p=1.00e-03),,28581527,(p=1.10e-03),,19531623,(p=1.30e-03),,26130649,(p=1.70e-03),,20948320,(p=2.20e-03),
50,50,672,BRCA1,-,2556,130,3.879e-87,25583261,(p=3.07e-04),,12509456,(p=3.10e-04),,23407556,(p=4.01e-04),,24625110,(p=4.04e-04),,22915752,(p=5.00e-04),,19415121,(p=9.01e-04),,21396117,(p=9.01e-04),,28968398,(p=1.00e-03),,22915751,(p=1.01e-03),,24507701,(p=1.01e-03),
