,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
32,32,5599,MAPK8,-,927,154,3.653e-166,18594007,(p=1.02e-04),,18025271,(p=3.01e-04),,25341038,(p=4.01e-04),,27401020,(p=4.02e-04),,17908987,(p=5.00e-04),,27941886,(p=5.01e-04),,27855694,(p=8.02e-04),,20145041,(p=8.03e-04),,22433870,(p=9.00e-04),,16982329,(p=1.00e-03),
33,33,2305,FOXM1,-,363,110,8.267e-164,25391371,(p=9.22e-05),,23531216,(p=9.45e-05),,28114286,(p=1.02e-04),,28482906,(p=1.05e-04),,26918606,(p=1.06e-04),,20823107,(p=4.01e-04),,26316295,(p=4.02e-04),,23857410,(p=4.03e-04),,25213081,(p=5.00e-04),,20351091,(p=5.02e-04),
34,34,5747,PTK2,-,828,144,6.097e-162,26892465,(p=9.05e-05),,21590355,(p=9.11e-05),,25971297,(p=9.95e-05),,27009091,(p=1.00e-04),,27736841,(p=1.03e-04),,26962872,(p=2.00e-04),,28533307,(p=3.00e-04),,20160475,(p=3.02e-04),,24848258,(p=4.03e-04),,26956728,(p=5.01e-04),
35,35,1432,MAPK14,-,1249,168,9.945e-161,21858220,(p=9.50e-05),,23579276,(p=3.00e-04),,20169663,(p=3.02e-04),,27401020,(p=4.02e-04),,19885551,(p=4.03e-04),,17548358,(p=4.03e-04),,19633425,(p=5.01e-04),,20686359,(p=8.00e-04),,23759594,(p=8.00e-04),,21923922,(p=8.00e-04),
36,36,238,ALK,-,529,122,1.14e-160,27986745,(p=8.41e-05),,22203728,(p=9.87e-05),,25228590,(p=1.01e-04),,27707976,(p=1.03e-04),,24419060,(p=1.05e-04),,19535344,(p=1.06e-04),,28455243,(p=2.00e-04),,28370702,(p=5.00e-04),,26147305,(p=5.01e-04),,25351247,(p=5.01e-04),
37,37,1019,CDK4,-,482,117,8.095e-159,27986745,(p=8.41e-05),,20354191,(p=9.02e-05),,25810375,(p=9.61e-05),,25028469,(p=1.01e-04),,16205633,(p=1.03e-04),,24444383,(p=1.04e-04),,28349562,(p=1.06e-04),,16985050,(p=4.02e-04),,19225156,(p=4.02e-04),,28432176,(p=4.03e-04),
38,38,3091,HIF1A,-,2688,234,4.785e-157,27821815,(p=9.93e-05),,20706634,(p=2.00e-04),,27394002,(p=3.01e-04),,16596228,(p=3.01e-04),,20169663,(p=3.02e-04),,26292663,(p=4.01e-04),,19435875,(p=4.03e-04),,23785417,(p=5.00e-04),,21085474,(p=5.02e-04),,25655308,(p=7.00e-04),
39,39,2309,FOXO3,-,513,116,5.68e-154,18312651,(p=9.78e-05),,26310353,(p=9.85e-05),,25791921,(p=1.03e-04),,21092744,(p=1.04e-04),,20169663,(p=3.02e-04),,18393360,(p=4.00e-04),,20978166,(p=4.02e-04),,27881235,(p=4.03e-04),,23085518,(p=5.01e-04),,27452907,(p=5.01e-04),
40,40,673,BRAF,-,1852,191,1.548e-153,22180495,(p=1.03e-04),,17878251,(p=1.05e-04),,27283860,(p=1.06e-04),,19276360,(p=1.07e-04),,21936566,(p=4.00e-04),,24486585,(p=4.01e-04),,24398428,(p=4.01e-04),,18458053,(p=4.01e-04),,23549875,(p=5.00e-04),,23447565,(p=8.00e-04),
41,41,1499,CTNNB1,-,2298,209,1.578e-151,27196759,(p=9.97e-05),,21949397,(p=1.01e-04),,19060929,(p=4.02e-04),,27391060,(p=7.00e-04),,24650032,(p=8.01e-04),,25061104,(p=8.01e-04),,20028853,(p=8.02e-04),,25313256,(p=8.02e-04),,19018094,(p=8.02e-04),,27481517,(p=8.03e-04),
42,42,6714,SRC,-,1255,159,1.955e-151,21509526,(p=9.30e-05),,19861436,(p=1.05e-04),,21618517,(p=2.00e-04),,27465556,(p=4.01e-04),,21646863,(p=4.01e-04),,22323579,(p=4.02e-04),,24403252,(p=8.02e-04),,19223541,(p=8.02e-04),,17620427,(p=8.03e-04),,26358373,(p=8.03e-04),
43,43,4193,MDM2,-,1687,180,7.029e-151,27825169,(p=1.02e-04),,27736841,(p=1.03e-04),,27004407,(p=1.03e-04),,26070072,(p=1.06e-04),,25567130,(p=2.00e-04),,26431163,(p=3.00e-04),,27550999,(p=3.02e-04),,14702041,(p=4.01e-04),,27432230,(p=4.01e-04),,25312347,(p=4.03e-04),
44,44,4851,NOTCH1,-,1098,150,7.831e-151,20736329,(p=1.06e-04),,18593923,(p=1.07e-04),,21679465,(p=2.00e-04),,25213258,(p=2.00e-04),,16651424,(p=4.01e-04),,27941886,(p=5.01e-04),,18469855,(p=8.02e-04),,24885920,(p=8.03e-04),,16688224,(p=9.00e-04),,22956186,(p=9.00e-04),
45,45,1869,E2F1,-,703,125,1.293e-148,18722373,(p=1.00e-04),,26833126,(p=3.01e-04),,25788226,(p=4.01e-04),,15187102,(p=5.02e-04),,12065845,(p=7.01e-04),,20354121,(p=8.02e-04),,28068326,(p=1.00e-03),,25174355,(p=1.00e-03),,22798430,(p=1.00e-03),,25593464,(p=1.10e-03),
