,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
30,30,596,BCL2,-,1761,117,7.429e-94,23588221,(p=4.09e-04),,28428442,(p=4.18e-04),,28379541,(p=8.04e-04),,24034250,(p=1.00e-03),,17426248,(p=1.20e-03),,23335369,(p=1.60e-03),,12400004,(p=1.60e-03),,23977251,(p=1.90e-03),,15498929,(p=1.90e-03),,23861345,(p=2.10e-03),
31,31,4170,MCL1,-,587,73,1.064e-89,17927446,(p=3.01e-04),,23883584,(p=4.05e-04),,19763916,(p=5.05e-04),,25756510,(p=5.06e-04),,15753661,(p=6.00e-04),,24469836,(p=6.00e-04),,28522751,(p=1.10e-03),,23171055,(p=1.10e-03),,17495975,(p=1.20e-03),,21863213,(p=1.90e-03),
32,32,332,BIRC5,-,1116,92,2.28e-89,22075159,(p=4.04e-04),,24563335,(p=4.09e-04),,25895606,(p=5.04e-04),,21402055,(p=1.60e-03),,27177222,(p=1.60e-03),,18593915,(p=1.60e-03),,16847054,(p=1.70e-03),,21415216,(p=1.90e-03),,19728914,(p=1.90e-03),,20682707,(p=2.20e-03),
33,33,5594,MAPK1,-,1938,111,8.58e-85,17015027,(p=4.17e-04),,27004400,(p=8.03e-04),,22696230,(p=1.10e-03),,20226009,(p=1.10e-03),,21444628,(p=1.10e-03),,24300974,(p=1.10e-03),,19505457,(p=1.60e-03),,26705127,(p=1.70e-03),,19147502,(p=1.70e-03),,23306155,(p=1.90e-03),
34,34,4486,MST1R,-,137,42,7.29e-78,25512530,(p=4.12e-04),,24628993,(p=6.00e-04),,21543897,(p=6.01e-04),,18620091,(p=1.60e-03),,22613539,(p=1.70e-03),,26775595,(p=1.80e-03),,26477314,(p=1.90e-03),,20689759,(p=1.90e-03),,23558571,(p=2.20e-03),,23597200,(p=2.60e-03),
35,35,2263,FGFR2,-,528,60,1.226e-75,26853422,(p=1.02e-04),,25512530,(p=4.12e-04),,24518603,(p=4.15e-04),,23060048,(p=4.15e-04),,24850843,(p=5.02e-04),,24122810,(p=5.04e-04),,22440694,(p=5.04e-04),,24711160,(p=5.04e-04),,28034880,(p=5.05e-04),,25981814,(p=5.05e-04),
36,36,367,AR,-,2103,103,2.972e-75,27148695,(p=8.03e-04),,19339269,(p=9.00e-04),,25277659,(p=1.10e-03),,26247526,(p=1.30e-03),,26928463,(p=1.50e-03),,26876202,(p=1.50e-03),,24777847,(p=1.60e-03),,24615402,(p=1.60e-03),,25347744,(p=1.60e-03),,24779793,(p=1.60e-03),
37,37,4915,NTRK2,-,307,50,2.169e-74,25512530,(p=4.12e-04),,27402815,(p=8.02e-04),,24959744,(p=1.10e-03),,28604655,(p=1.20e-03),,26820170,(p=1.50e-03),,18293376,(p=1.90e-03),,16964397,(p=2.20e-03),,21379385,(p=2.50e-03),,28446206,(p=2.60e-03),,24658140,(p=2.60e-03),
38,38,7422,VEGFA,-,4154,144,1.936e-73,25889301,(p=4.09e-04),,23435217,(p=4.13e-04),,25410981,(p=5.01e-04),,18450321,(p=8.01e-04),,18317076,(p=8.02e-04),,18701503,(p=8.03e-04),,26802156,(p=8.03e-04),,27727447,(p=9.01e-04),,16972327,(p=9.02e-04),,20485168,(p=9.02e-04),
39,39,5347,PLK1,-,605,61,2.065e-73,23144294,(p=1.00e-03),,21436619,(p=1.60e-03),,27647547,(p=2.20e-03),,21953073,(p=2.20e-03),,22064247,(p=2.20e-03),,27558135,(p=2.50e-03),,22188812,(p=2.60e-03),,22390279,(p=3.20e-03),,21399492,(p=3.20e-03),,22262171,(p=3.20e-03),
40,40,6794,STK11,-,378,52,1.117e-72,24468202,(p=4.00e-04),,25695224,(p=8.01e-04),,28652249,(p=9.00e-04),,23526220,(p=1.10e-03),,26477306,(p=1.50e-03),,25465874,(p=1.60e-03),,24146957,(p=1.90e-03),,26917230,(p=2.10e-03),,24828662,(p=2.50e-03),,18594528,(p=2.60e-03),
41,41,4893,NRAS,-,446,54,1.119e-71,22773810,(p=4.10e-04),,26325669,(p=4.13e-04),,24758538,(p=4.17e-04),,23515407,(p=6.01e-04),,19190079,(p=7.01e-04),,21107323,(p=1.10e-03),,17671710,(p=1.10e-03),,22912864,(p=1.50e-03),,25886136,(p=1.60e-03),,21072204,(p=1.60e-03),
42,42,2099,ESR1,-,2923,115,4.192e-71,28498399,(p=5.03e-04),,27551012,(p=9.01e-04),,23319822,(p=1.10e-03),,25991817,(p=1.20e-03),,29029116,(p=1.30e-03),,23991038,(p=1.60e-03),,25347744,(p=1.60e-03),,24758408,(p=1.70e-03),,23071688,(p=2.20e-03),,19487288,(p=2.20e-03),
43,43,3717,JAK2,-,1189,75,3.499e-70,27025877,(p=4.03e-04),,22712764,(p=4.12e-04),,22319590,(p=4.16e-04),,26238612,(p=8.02e-04),,23372669,(p=1.10e-03),,28639892,(p=1.10e-03),,18829483,(p=1.60e-03),,26762740,(p=1.60e-03),,22384256,(p=1.80e-03),,25226617,(p=1.90e-03),
