,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
46,46,4838,NODAL,-,96,12,0,23474366,(p=2.20e-03),,25073112,(p=3.30e-03),,23334323,(p=3.60e-03),,27007464,(p=3.60e-03),,25672326,(p=3.70e-03),,27775691,(p=4.90e-03),,20383200,(p=6.00e-03),,25557170,(p=6.70e-03),,16179608,(p=7.90e-03),,21116837,(p=7.90e-03),
47,47,1942,EFNA1,-,81,10,0,22236865,(p=2.10e-03),,22228563,(p=2.60e-03),,16428472,(p=2.90e-03),,17049832,(p=3.20e-03),,17332925,(p=5.30e-03),,24217950,(p=6.60e-03),,20571968,(p=7.90e-03),,12496364,(p=8.20e-03),,15649254,(p=8.60e-03),,21166698,(p=9.50e-03),
48,48,3217,HOXB7,-,81,10,0,17018609,(p=1.60e-03),,25542862,(p=2.10e-03),,22914903,(p=3.00e-03),,21690342,(p=3.20e-03),,21474578,(p=3.20e-03),,28646927,(p=3.60e-03),,24088503,(p=5.00e-03),,23861821,(p=5.30e-03),,26180042,(p=5.70e-03),,26307396,(p=8.20e-03),
49,49,4920,ROR2,-,99,12,0,25209439,(p=7.04e-04),,28277191,(p=7.05e-04),,24158497,(p=1.00e-03),,28536612,(p=2.70e-03),,27440078,(p=3.20e-03),,28618961,(p=3.50e-03),,26515598,(p=4.10e-03),,19448672,(p=4.90e-03),,19486338,(p=5.00e-03),,25542006,(p=5.40e-03),
50,50,8434,RECK,-,132,16,0,17714826,(p=3.60e-03),,20407016,(p=3.70e-03),,21076843,(p=4.50e-03),,24532189,(p=4.90e-03),,22158033,(p=5.00e-03),,27058625,(p=5.00e-03),,23820254,(p=5.00e-03),,12810630,(p=5.00e-03),,25885317,(p=5.40e-03),,26449734,(p=7.10e-03),
51,51,26524,LATS2,-,108,13,0,28003305,(p=7.06e-04),,20841485,(p=1.00e-03),,20932276,(p=2.10e-03),,27470365,(p=2.40e-03),,24976335,(p=3.60e-03),,26908628,(p=5.90e-03),,22098159,(p=6.70e-03),,25670202,(p=6.70e-03),,25973055,(p=8.00e-03),,28775168,(p=8.10e-03),
52,52,4585,MUC4,-,159,19,0,27698002,(p=9.00e-04),,23370366,(p=2.60e-03),,25367394,(p=3.30e-03),,22644656,(p=3.50e-03),,22580602,(p=3.50e-03),,25522282,(p=3.60e-03),,24582898,(p=4.10e-03),,16690615,(p=4.10e-03),,19738614,(p=5.00e-03),,22614008,(p=5.70e-03),
53,53,27122,DKK3,-,127,15,0,25573172,(p=6.02e-04),,24498395,(p=7.01e-04),,18654608,(p=8.01e-04),,22421143,(p=2.40e-03),,26278164,(p=3.40e-03),,18443132,(p=4.90e-03),,23354949,(p=4.90e-03),,18922905,(p=5.90e-03),,22555103,(p=7.10e-03),,22473694,(p=8.00e-03),
54,54,7272,TTK,-,136,16,0,26398286,(p=4.01e-04),,28380042,(p=6.00e-04),,24462521,(p=8.00e-04),,28726638,(p=2.60e-03),,24282275,(p=2.60e-03),,19459850,(p=3.40e-03),,23933817,(p=3.50e-03),,24905462,(p=3.70e-03),,23700430,(p=3.90e-03),,17388661,(p=6.00e-03),
55,55,2931,GSK3A,-,154,18,0,20920357,(p=1.00e-03),,24675460,(p=2.30e-03),,25486534,(p=3.20e-03),,28662516,(p=3.60e-03),,14645548,(p=4.90e-03),,17052453,(p=5.70e-03),,23243017,(p=6.00e-03),,22328534,(p=6.70e-03),,21436692,(p=7.70e-03),,29161257,(p=7.90e-03),
56,56,3068,HDGF,-,95,11,0,21302807,(p=2.40e-03),,23673296,(p=3.00e-03),,15870924,(p=3.60e-03),,19924574,(p=4.50e-03),,25262276,(p=5.00e-03),,23536873,(p=5.00e-03),,28592712,(p=5.00e-03),,24986090,(p=6.80e-03),,24891187,(p=7.90e-03),,19710540,(p=9.80e-03),
57,57,8493,PPM1D,-,123,14,0,25060857,(p=3.40e-03),,19435816,(p=3.50e-03),,24970693,(p=4.90e-03),,12021785,(p=5.10e-03),,27183917,(p=5.60e-03),,20007970,(p=6.50e-03),,24272082,(p=6.70e-03),,26824362,(p=6.70e-03),,23907458,(p=7.70e-03),,18482988,(p=8.00e-03),
58,58,25937,WWTR1,-,185,21,0,28018973,(p=2.40e-03),,27999199,(p=3.10e-03),,26320173,(p=3.20e-03),,24951773,(p=3.60e-03),,25870251,(p=3.70e-03),,27373987,(p=3.70e-03),,25354978,(p=4.50e-03),,25633292,(p=4.90e-03),,25495189,(p=4.90e-03),,22825057,(p=5.00e-03),
59,59,7980,TFPI2,-,118,13,0,28393235,(p=7.05e-04),,20377370,(p=1.10e-03),,15592528,(p=3.60e-03),,21984372,(p=4.60e-03),,22208663,(p=6.00e-03),,20015200,(p=6.80e-03),,25179542,(p=7.10e-03),,17023682,(p=7.10e-03),,20018303,(p=8.00e-03),,19212621,(p=8.00e-03),
60,60,2048,EPHB2,-,146,16,0,25148033,(p=6.04e-04),,24211352,(p=9.00e-04),,24677421,(p=3.10e-03),,22310282,(p=3.40e-03),,18797457,(p=3.60e-03),,16272170,(p=3.60e-03),,19366806,(p=3.70e-03),,24439224,(p=3.70e-03),,23711177,(p=4.90e-03),,22010211,(p=5.30e-03),
61,61,6495,SIX1,-,110,12,0,22765220,(p=3.70e-03),,25555392,(p=4.40e-03),,10801845,(p=4.40e-03),,24551283,(p=4.60e-03),,24574515,(p=5.30e-03),,25951369,(p=5.90e-03),,28199476,(p=6.00e-03),,24114014,(p=6.80e-03),,27780136,(p=7.70e-03),,26490981,(p=8.30e-03),
62,62,993,CDC25A,-,176,19,0,27384875,(p=6.04e-04),,23730206,(p=7.02e-04),,25909324,(p=7.06e-04),,25397735,(p=7.06e-04),,26515730,(p=3.20e-03),,28951130,(p=3.60e-03),,18204780,(p=4.10e-03),,18980975,(p=4.90e-03),,11585757,(p=4.90e-03),,19966869,(p=4.90e-03),
63,63,5605,MAP2K2,-,195,21,0,24011934,(p=1.03e-04),,21447798,(p=8.00e-04),,19014680,(p=1.80e-03),,26625317,(p=2.00e-03),,27956260,(p=2.20e-03),,22833572,(p=3.00e-03),,22805291,(p=3.30e-03),,27636997,(p=3.60e-03),,21445343,(p=3.60e-03),,18390968,(p=3.60e-03),
64,64,6768,ST14,-,112,12,0,27356668,(p=1.60e-03),,20971737,(p=2.30e-03),,10962009,(p=4.10e-03),,25730905,(p=4.90e-03),,23248318,(p=5.40e-03),,17389401,(p=5.70e-03),,19578749,(p=6.00e-03),,21217780,(p=7.60e-03),,27528224,(p=8.00e-03),,23466486,(p=8.00e-03),
65,65,1843,DUSP1,-,197,21,0,25593344,(p=1.01e-04),,19553005,(p=3.00e-04),,20890299,(p=7.02e-04),,21803700,(p=1.00e-03),,18519678,(p=2.20e-03),,18726921,(p=3.10e-03),,25617504,(p=3.20e-03),,15590693,(p=3.50e-03),,15448190,(p=3.60e-03),,15173070,(p=4.10e-03),
66,66,9020,MAP3K14,-,125,13,0,27555280,(p=1.00e-03),,23536439,(p=3.20e-03),,19593445,(p=3.30e-03),,25622756,(p=3.50e-03),,20735436,(p=4.30e-03),,22105365,(p=5.00e-03),,25043127,(p=5.10e-03),,17543278,(p=5.30e-03),,21963849,(p=5.70e-03),,20338663,(p=5.90e-03),
67,67,5587,PRKD1,-,193,20,0,23971832,(p=6.03e-04),,22245102,(p=1.10e-03),,26895471,(p=3.00e-03),,20857418,(p=3.60e-03),,28360038,(p=4.10e-03),,20497126,(p=4.40e-03),,21993564,(p=4.40e-03),,18829454,(p=5.00e-03),,22188925,(p=5.70e-03),,11884618,(p=5.90e-03),
68,68,1024,CDK8,-,111,11,0,27678455,(p=7.06e-04),,26286725,(p=7.06e-04),,20083228,(p=1.90e-03),,28147342,(p=3.70e-03),,22869755,(p=4.90e-03),,19790197,(p=5.30e-03),,20514474,(p=6.70e-03),,26502155,(p=7.90e-03),,21344156,(p=8.50e-03),,24427329,(p=8.80e-03),
69,69,6195,RPS6KA1,-,183,18,0,24189400,(p=6.01e-04),,27236820,(p=6.03e-04),,22249268,(p=1.00e-03),,28167505,(p=1.10e-03),,22674792,(p=1.80e-03),,11139588,(p=2.80e-03),,19036157,(p=2.80e-03),,15121878,(p=4.00e-03),,24332215,(p=4.00e-03),,26977024,(p=4.90e-03),
70,70,3491,CYR61,-,217,21,0,20233866,(p=7.06e-04),,15592521,(p=1.00e-03),,16243794,(p=1.40e-03),,27286449,(p=2.00e-03),,23027863,(p=2.90e-03),,27889647,(p=3.20e-03),,15077166,(p=3.60e-03),,25773758,(p=3.70e-03),,15044484,(p=5.10e-03),,26028023,(p=5.70e-03),
71,71,7039,TGFA,-,217,21,0,18922903,(p=2.00e-04),,24122793,(p=4.01e-04),,23729230,(p=7.01e-04),,12907656,(p=8.00e-04),,24685520,(p=2.10e-03),,19749156,(p=2.20e-03),,12743035,(p=2.40e-03),,20936340,(p=3.30e-03),,23155381,(p=3.60e-03),,18253818,(p=3.60e-03),
72,72,388,RHOB,-,125,12,0,15102679,(p=2.40e-03),,19208833,(p=3.10e-03),,21373644,(p=3.70e-03),,16278215,(p=3.90e-03),,22539766,(p=4.90e-03),,27384222,(p=5.00e-03),,18212741,(p=5.10e-03),,22227305,(p=5.40e-03),,20810568,(p=6.80e-03),,10913192,(p=7.50e-03),
73,73,5268,SERPINB5,-,219,21,0,26329803,(p=7.05e-04),,28648644,(p=7.06e-04),,20337574,(p=1.10e-03),,25936422,(p=1.90e-03),,12127964,(p=2.60e-03),,16007219,(p=2.70e-03),,26733306,(p=3.70e-03),,18665036,(p=4.50e-03),,22684556,(p=5.30e-03),,21502940,(p=6.70e-03),
74,74,5609,MAP2K7,-,116,11,0,25959272,(p=9.56e-05),,26649302,(p=1.00e-03),,26351322,(p=1.40e-03),,21074392,(p=3.60e-03),,18436711,(p=3.60e-03),,23900681,(p=3.70e-03),,22159816,(p=4.10e-03),,25428880,(p=5.00e-03),,28263969,(p=5.00e-03),,22903704,(p=9.00e-03),
75,75,28996,HIPK2,-,159,15,0,19128456,(p=1.60e-03),,22236966,(p=1.60e-03),,21248371,(p=2.40e-03),,21173028,(p=3.00e-03),,19714248,(p=3.20e-03),,21602882,(p=3.40e-03),,19828042,(p=3.60e-03),,23144866,(p=5.30e-03),,23565059,(p=5.90e-03),,16467083,(p=6.00e-03),
76,76,6386,SDCBP,-,117,11,0,22267972,(p=8.01e-04),,28141839,(p=1.70e-03),,27720715,(p=2.90e-03),,27472461,(p=3.10e-03),,20228839,(p=3.30e-03),,23873690,(p=3.60e-03),,26539120,(p=4.10e-03),,23233738,(p=4.90e-03),,24305713,(p=5.00e-03),,18832467,(p=6.70e-03),
77,77,27250,PDCD4,-,227,21,0,24609942,(p=1.10e-03),,26026468,(p=1.40e-03),,19633292,(p=1.60e-03),,24659669,(p=3.10e-03),,20735432,(p=3.30e-03),,22986533,(p=3.50e-03),,22200873,(p=3.60e-03),,22761399,(p=3.70e-03),,24413684,(p=4.00e-03),,18549351,(p=4.10e-03),
78,78,4015,LOX,-,174,16,0,26908052,(p=5.04e-04),,25790191,(p=7.05e-04),,24573150,(p=1.00e-03),,21239473,(p=3.50e-03),,22438909,(p=4.10e-03),,26515140,(p=4.20e-03),,26048020,(p=4.60e-03),,23750284,(p=5.00e-03),,23975428,(p=5.00e-03),,15609325,(p=5.90e-03),
79,79,3490,IGFBP7,-,121,11,0,22392074,(p=2.40e-03),,24967962,(p=2.90e-03),,26450156,(p=3.60e-03),,22277373,(p=3.70e-03),,26706909,(p=6.70e-03),,20464481,(p=6.80e-03),,20029996,(p=7.70e-03),,20977730,(p=7.90e-03),,21908579,(p=8.90e-03),,18981723,(p=9.20e-03),
80,80,6319,SCD,-,121,11,0,23019225,(p=9.87e-05),,22946088,(p=4.03e-04),,23633458,(p=7.00e-04),,24135379,(p=1.90e-03),,18813799,(p=3.10e-03),,22457791,(p=3.10e-03),,25880005,(p=3.20e-03),,23013158,(p=5.00e-03),,28797843,(p=8.00e-03),,27223066,(p=8.20e-03),
