,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
36,36,4297,KMT2A,-,435,17,2.401e-20,19229974,(p=5.01e-04),,29155023,(p=1.50e-03),,27561414,(p=1.90e-03),,22814291,(p=3.00e-03),,18195096,(p=3.30e-03),,24858818,(p=4.10e-03),,19059939,(p=6.70e-03),,17341662,(p=6.80e-03),,18559874,(p=6.80e-03),,28063190,(p=8.30e-03),
37,37,672,BRCA1,-,2556,34,3.901e-20,27039761,(p=8.04e-04),,20609467,(p=1.70e-03),,19564533,(p=1.90e-03),,19877382,(p=2.20e-03),,20209131,(p=2.60e-03),,28549976,(p=3.10e-03),,26946057,(p=3.30e-03),,23810788,(p=3.30e-03),,26637364,(p=3.30e-03),,28499366,(p=3.30e-03),
38,38,207,AKT1,-,2893,36,5.429e-20,22183914,(p=6.01e-04),,25215588,(p=8.03e-04),,20808831,(p=1.70e-03),,25823028,(p=2.50e-03),,20159991,(p=2.60e-03),,25909227,(p=3.20e-03),,22351695,(p=3.30e-03),,18469852,(p=3.30e-03),,22131882,(p=3.90e-03),,28098872,(p=4.00e-03),
39,39,4233,MET,-,1039,22,2.257e-19,23745832,(p=8.07e-05),,27789775,(p=1.70e-03),,28337527,(p=1.70e-03),,24786972,(p=1.70e-03),,21383285,(p=1.90e-03),,22180430,(p=3.30e-03),,23558571,(p=3.30e-03),,27401892,(p=3.50e-03),,26791795,(p=4.00e-03),,25335552,(p=4.10e-03),
40,40,4255,MGMT,-,599,18,2.38e-19,19860620,(p=8.37e-05),,25163906,(p=8.01e-04),,25031012,(p=1.70e-03),,18445844,(p=1.90e-03),,1387001,(p=3.30e-03),,27603910,(p=3.50e-03),,18156172,(p=3.90e-03),,23422094,(p=4.50e-03),,24718901,(p=5.30e-03),,25723791,(p=5.30e-03),
41,41,216,ALDH1A1,-,278,14,5.65e-19,25344211,(p=8.86e-05),,23132408,(p=1.90e-03),,22080062,(p=3.30e-03),,23332924,(p=4.00e-03),,27380877,(p=4.20e-03),,19696793,(p=5.30e-03),,27368476,(p=8.60e-03),,25120797,(p=9.10e-03),,25843691,(p=9.30e-03),,26975188,(p=9.30e-03),
42,42,2212,FCGR2A,-,446,16,7.127e-19,17594928,(p=4.06e-04),,19933905,(p=9.00e-04),,17650444,(p=1.50e-03),,22885164,(p=2.40e-03),,26510856,(p=3.50e-03),,18474295,(p=4.00e-03),,19164213,(p=4.10e-03),,27376362,(p=4.10e-03),,19672774,(p=5.60e-03),,17704420,(p=7.00e-03),
43,43,7515,XRCC1,-,1113,22,8.095e-19,19963133,(p=9.00e-05),,19786980,(p=8.02e-04),,20734048,(p=8.06e-04),,17410042,(p=9.01e-04),,17558308,(p=1.60e-03),,21463129,(p=3.20e-03),,20216541,(p=3.30e-03),,17197435,(p=3.30e-03),,23910235,(p=3.30e-03),,17409981,(p=4.10e-03),
44,44,2952,GSTT1,-,1711,26,1.672e-18,20303013,(p=7.06e-05),,20459744,(p=8.01e-04),,19786980,(p=8.02e-04),,19005482,(p=1.90e-03),,11230469,(p=1.90e-03),,16507781,(p=2.60e-03),,18581889,(p=2.80e-03),,20216541,(p=3.30e-03),,15717164,(p=3.30e-03),,21916526,(p=3.30e-03),
45,45,4615,MYD88,-,387,15,1.903e-18,28803429,(p=9.35e-05),,27837631,(p=2.10e-04),,25055137,(p=5.02e-04),,26159625,(p=3.30e-03),,26792260,(p=3.30e-03),,22837180,(p=3.60e-03),,23380077,(p=4.20e-03),,28280994,(p=5.40e-03),,29181840,(p=6.40e-03),,17940625,(p=7.90e-03),
46,46,331,XIAP,-,499,16,3.708e-18,22173242,(p=2.14e-04),,20582956,(p=1.50e-03),,22776562,(p=1.50e-03),,25572427,(p=3.60e-03),,19654940,(p=4.00e-03),,16983704,(p=4.00e-03),,12855663,(p=4.10e-03),,22403616,(p=4.10e-03),,15173080,(p=4.50e-03),,25974735,(p=6.40e-03),
47,47,4790,NFKB1,-,2819,32,8.418e-18,19021048,(p=6.87e-05),,25636172,(p=7.01e-04),,26606782,(p=8.05e-04),,25823028,(p=2.50e-03),,19885551,(p=2.60e-03),,21979374,(p=3.00e-03),,21902578,(p=4.00e-03),,22013068,(p=4.10e-03),,27338827,(p=4.10e-03),,22267549,(p=4.40e-03),
48,48,3091,HIF1A,-,2688,31,1.156e-17,23785417,(p=4.04e-04),,16899602,(p=1.50e-03),,21343371,(p=3.10e-03),,24840054,(p=3.30e-03),,25219592,(p=3.50e-03),,26717965,(p=3.50e-03),,20020496,(p=4.10e-03),,16596228,(p=4.10e-03),,23020605,(p=4.40e-03),,19016766,(p=4.70e-03),
