,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
39,39,56848,SPHK2,-,64,13,0,24140934,(p=4.03e-04),,21307639,(p=5.01e-04),,24422628,(p=5.02e-04),,26494858,(p=1.20e-03),,12391145,(p=1.30e-03),,25808826,(p=1.50e-03),,28108260,(p=2.40e-03),,26209696,(p=3.60e-03),,17311928,(p=3.60e-03),,26628299,(p=4.10e-03),
40,40,2241,FER,-,79,16,0,28245430,(p=4.02e-04),,23589302,(p=9.01e-04),,23699534,(p=1.10e-03),,22238358,(p=1.20e-03),,25347743,(p=1.70e-03),,23573306,(p=1.70e-03),,23873028,(p=1.70e-03),,21518868,(p=2.20e-03),,25540073,(p=3.60e-03),,19147545,(p=3.60e-03),
41,41,55869,HDAC8,-,90,18,0,19118036,(p=5.04e-04),,25011684,(p=9.01e-04),,26200462,(p=1.10e-03),,27283490,(p=1.70e-03),,27072133,(p=3.60e-03),,22944197,(p=3.80e-03),,24077923,(p=4.10e-03),,28232663,(p=4.70e-03),,26412386,(p=5.60e-03),,25836739,(p=5.60e-03),
42,42,56649,TMPRSS4,-,45,9,0,28259959,(p=2.00e-03),,24434435,(p=2.90e-03),,25414083,(p=3.90e-03),,26993610,(p=4.80e-03),,26989022,(p=5.60e-03),,26190376,(p=6.20e-03),,22067904,(p=7.30e-03),,21637307,(p=8.60e-03),,24335200,(p=9.10e-03),,NA,
43,43,27436,EML4,-,76,15,0,19667264,(p=5.02e-04),,28370702,(p=5.03e-04),,26517679,(p=1.70e-03),,27132509,(p=1.70e-03),,25144242,(p=2.20e-03),,27811184,(p=2.40e-03),,18594010,(p=2.70e-03),,22124476,(p=3.60e-03),,26019170,(p=3.60e-03),,24388371,(p=5.00e-03),
44,44,9149,DYRK1B,-,51,10,0,28554575,(p=1.10e-03),,24590896,(p=1.10e-03),,26784250,(p=1.70e-03),,19633423,(p=1.70e-03),,10910078,(p=4.80e-03),,21878655,(p=5.60e-03),,16618736,(p=6.10e-03),,25777618,(p=6.30e-03),,16257974,(p=7.60e-03),,20042639,(p=8.70e-03),
45,45,346389,MACC1,-,102,20,0,27607135,(p=1.09e-04),,21923915,(p=7.00e-04),,21447729,(p=2.20e-03),,19787327,(p=2.60e-03),,27529686,(p=2.90e-03),,26043756,(p=3.60e-03),,27991682,(p=3.60e-03),,22533346,(p=3.60e-03),,28649004,(p=4.10e-03),,25953673,(p=4.30e-03),
46,46,79444,BIRC7,-,120,23,0,23188704,(p=1.06e-04),,27677286,(p=7.00e-04),,22766624,(p=8.00e-04),,20717925,(p=1.00e-03),,25695324,(p=1.10e-03),,25370472,(p=1.40e-03),,24220265,(p=1.70e-03),,19914791,(p=1.70e-03),,22086237,(p=1.70e-03),,24023847,(p=1.70e-03),
47,47,10461,MERTK,-,121,23,0,23585477,(p=8.17e-05),,22890323,(p=9.07e-05),,28184013,(p=2.02e-04),,28251492,(p=4.02e-04),,27649555,(p=4.03e-04),,24939420,(p=5.03e-04),,25826078,(p=5.03e-04),,27753136,(p=5.04e-04),,23353780,(p=1.20e-03),,23474756,(p=1.30e-03),
48,48,4922,NTS,-,90,17,0,25249545,(p=4.01e-04),,25249538,(p=4.02e-04),,21212273,(p=9.01e-04),,25098665,(p=1.70e-03),,21508335,(p=2.40e-03),,20810387,(p=3.60e-03),,21994122,(p=3.60e-03),,27611941,(p=4.80e-03),,27193687,(p=5.60e-03),,15123666,(p=7.00e-03),
49,49,84335,AKT1S1,-,53,10,0,21886838,(p=1.08e-04),,16174443,(p=9.00e-04),,17277771,(p=2.40e-03),,22241085,(p=3.60e-03),,21906675,(p=3.60e-03),,19446321,(p=3.80e-03),,24704832,(p=4.10e-03),,23460019,(p=5.60e-03),,12524439,(p=7.80e-03),,14973226,(p=9.00e-03),
