,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
31,31,2322,FLT3,-,568,48,4.911e-58,17229632,(p=2.14e-04),,26244574,(p=8.01e-04),,27906677,(p=9.05e-04),,14654525,(p=9.06e-04),,19540337,(p=9.07e-04),,27775694,(p=2.30e-03),,19684517,(p=2.50e-03),,26999641,(p=2.50e-03),,23613521,(p=2.90e-03),,15604885,(p=3.10e-03),
32,32,1111,CHEK1,-,455,41,6.472e-53,24098799,(p=1.70e-03),,25653093,(p=3.10e-03),,24113549,(p=3.30e-03),,22585575,(p=3.60e-03),,24810059,(p=3.80e-03),,25460505,(p=4.10e-03),,27438145,(p=4.60e-03),,12150968,(p=4.60e-03),,26988986,(p=4.90e-03),,25312395,(p=5.00e-03),
33,33,6790,AURKA,-,611,45,8.917e-53,21479365,(p=9.01e-04),,27209210,(p=9.04e-04),,25625960,(p=9.04e-04),,23334327,(p=1.00e-03),,25624750,(p=1.60e-03),,27502708,(p=2.50e-03),,25609923,(p=3.10e-03),,19649632,(p=3.20e-03),,25634113,(p=3.20e-03),,26884555,(p=3.40e-03),
34,34,332,BIRC5,-,1116,56,1.064e-52,24387108,(p=3.04e-04),,25808836,(p=9.02e-04),,24563335,(p=9.02e-04),,21367753,(p=1.50e-03),,22075159,(p=1.50e-03),,25810016,(p=1.70e-03),,22723337,(p=1.70e-03),,21470426,(p=2.90e-03),,25895606,(p=3.20e-03),,22407831,(p=3.60e-03),
35,35,5594,MAPK1,-,1938,70,6.368e-52,20190562,(p=2.09e-04),,22344606,(p=3.04e-04),,23812726,(p=9.02e-04),,20038816,(p=1.00e-03),,24119769,(p=1.30e-03),,25862004,(p=1.30e-03),,19633425,(p=1.50e-03),,20009539,(p=1.60e-03),,23845703,(p=1.80e-03),,17526808,(p=2.30e-03),
36,36,8829,NRP1,-,263,34,1.677e-51,25889301,(p=9.29e-05),,20631636,(p=3.01e-04),,26846845,(p=1.50e-03),,28938007,(p=1.60e-03),,22393126,(p=2.30e-03),,22025255,(p=2.40e-03),,24863063,(p=2.50e-03),,26563279,(p=3.60e-03),,11166270,(p=3.80e-03),,26805761,(p=5.10e-03),
37,37,5159,PDGFRB,-,434,39,5.286e-51,24747080,(p=2.10e-04),,19636022,(p=2.12e-04),,17229632,(p=2.14e-04),,20103629,(p=3.02e-04),,24524969,(p=3.04e-04),,29454091,(p=3.04e-04),,18524994,(p=4.01e-04),,21097719,(p=4.01e-04),,23146028,(p=9.03e-04),,28183292,(p=1.00e-03),
38,38,2263,FGFR2,-,528,39,1.037e-47,25981814,(p=9.59e-05),,24747080,(p=2.10e-04),,23060048,(p=3.01e-04),,26575424,(p=9.04e-04),,23493349,(p=1.30e-03),,26351320,(p=1.30e-03),,27007053,(p=1.60e-03),,24711160,(p=1.60e-03),,25576915,(p=1.70e-03),,28034880,(p=2.40e-03),
39,39,5347,PLK1,-,605,39,1.838e-45,25826089,(p=1.60e-03),,23144294,(p=1.90e-03),,23790466,(p=2.40e-03),,23574746,(p=2.90e-03),,23792639,(p=3.10e-03),,28126323,(p=3.30e-03),,21399492,(p=3.80e-03),,27647547,(p=3.90e-03),,22188812,(p=3.90e-03),,21169242,(p=3.90e-03),
40,40,1969,EPHA2,-,256,30,2.204e-45,26744526,(p=1.50e-03),,24486585,(p=1.50e-03),,21955398,(p=1.50e-03),,25366905,(p=1.70e-03),,28581527,(p=3.30e-03),,18425361,(p=3.80e-03),,19690146,(p=4.10e-03),,20948320,(p=4.30e-03),,20602165,(p=4.70e-03),,19531623,(p=4.80e-03),
41,41,2305,FOXM1,-,363,33,3.445e-45,28482906,(p=1.10e-03),,23006512,(p=1.50e-03),,25213081,(p=1.70e-03),,19513552,(p=2.60e-03),,26560505,(p=2.90e-03),,27439614,(p=3.10e-03),,23857410,(p=3.10e-03),,23531216,(p=3.10e-03),,24885308,(p=3.60e-03),,23775078,(p=4.10e-03),
42,42,4915,NTRK2,-,307,31,1.58e-44,26820170,(p=2.02e-04),,25512530,(p=2.60e-03),,17008023,(p=2.90e-03),,28604655,(p=3.00e-03),,28446206,(p=3.30e-03),,26797418,(p=3.60e-03),,20703101,(p=3.90e-03),,28739680,(p=4.10e-03),,16964397,(p=4.10e-03),,28230291,(p=4.10e-03),
43,43,5743,PTGS2,-,2041,62,1.815e-44,21424032,(p=2.13e-04),,20631636,(p=3.01e-04),,21600223,(p=9.03e-04),,14744769,(p=1.50e-03),,26191267,(p=1.60e-03),,26925639,(p=2.10e-03),,18381949,(p=2.30e-03),,14719060,(p=2.50e-03),,19280060,(p=2.50e-03),,12883688,(p=2.50e-03),
44,44,5979,RET,-,761,40,6.253e-43,20930041,(p=2.12e-04),,24045439,(p=3.02e-04),,27602955,(p=3.05e-04),,23828865,(p=8.01e-04),,26973202,(p=9.03e-04),,27683183,(p=9.07e-04),,28011461,(p=1.00e-03),,23991695,(p=1.10e-03),,19903778,(p=1.10e-03),,24526731,(p=1.30e-03),
45,45,7157,TP53,-,8709,139,1.296e-42,23578198,(p=2.07e-04),,25669829,(p=2.07e-04),,23640975,(p=9.07e-04),,17409930,(p=1.00e-03),,20811722,(p=1.00e-03),,26512780,(p=1.30e-03),,25555420,(p=1.50e-03),,21537838,(p=1.70e-03),,28285689,(p=1.80e-03),,25672981,(p=1.90e-03),
