,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
49,49,5243,ABCB1,-,2076,96,1.967e-70,24190517,(p=1.32e-04),,17526808,(p=6.04e-04),,25908454,(p=8.00e-04),,26515462,(p=9.01e-04),,18654608,(p=9.01e-04),,25498238,(p=9.02e-04),,18509181,(p=1.20e-03),,25590413,(p=1.30e-03),,25823028,(p=1.40e-03),,18809583,(p=1.60e-03),
50,50,3091,HIF1A,-,2688,107,4.762e-69,24362462,(p=2.07e-04),,27080362,(p=4.01e-04),,16596228,(p=4.02e-04),,20706634,(p=6.00e-04),,19435875,(p=6.02e-04),,25748238,(p=6.06e-04),,23785417,(p=6.07e-04),,27340936,(p=7.00e-04),,20169663,(p=7.01e-04),,23409121,(p=9.01e-04),
51,51,83990,BRIP1,-,144,37,4.095e-67,23585894,(p=1.31e-04),,24708616,(p=4.02e-04),,20681793,(p=6.05e-04),,26055704,(p=6.05e-04),,22968820,(p=7.01e-04),,19369211,(p=7.02e-04),,14983014,(p=9.02e-04),,23530059,(p=9.02e-04),,23108394,(p=1.00e-03),,24351291,(p=1.10e-03),
52,52,9429,ABCG2,-,705,59,4.057e-67,25644290,(p=8.01e-04),,17938326,(p=9.00e-04),,25988710,(p=1.90e-03),,21712253,(p=2.00e-03),,19713741,(p=2.00e-03),,28340578,(p=2.30e-03),,17445775,(p=2.50e-03),,22870247,(p=2.70e-03),,23960095,(p=2.90e-03),,26556876,(p=3.00e-03),
53,53,5594,MAPK1,-,1938,88,1.691e-66,26310353,(p=2.04e-04),,28241849,(p=3.01e-04),,24300974,(p=4.00e-04),,21444628,(p=5.01e-04),,15735702,(p=6.02e-04),,17526808,(p=6.04e-04),,20038816,(p=6.05e-04),,28396364,(p=6.07e-04),,24040019,(p=7.02e-04),,20009539,(p=8.01e-04),
54,54,2309,FOXO3,-,513,52,8.948e-66,26310353,(p=2.04e-04),,22761954,(p=2.05e-04),,26375988,(p=3.01e-04),,18312651,(p=6.01e-04),,20169663,(p=7.01e-04),,20978166,(p=8.00e-04),,21092744,(p=9.00e-04),,20808831,(p=1.30e-03),,25791921,(p=1.40e-03),,27452907,(p=1.70e-03),
55,55,10018,BCL2L11,-,424,48,2.08e-64,23500081,(p=3.02e-04),,17927446,(p=4.00e-04),,28337703,(p=6.02e-04),,26874859,(p=7.00e-04),,23382048,(p=9.01e-04),,23532334,(p=1.00e-03),,23358890,(p=1.50e-03),,22905229,(p=1.90e-03),,24493829,(p=2.20e-03),,24736070,(p=2.40e-03),
56,56,580,BARD1,-,206,39,2.478e-64,24085845,(p=1.08e-04),,26010302,(p=1.19e-04),,23585894,(p=1.31e-04),,25652403,(p=2.09e-04),,24507701,(p=4.02e-04),,24755837,(p=6.04e-04),,20681793,(p=6.05e-04),,25252691,(p=7.00e-04),,19369211,(p=7.02e-04),,18089818,(p=9.02e-04),
57,57,8795,TNFRSF10B,-,324,44,5.511e-64,28270124,(p=4.01e-04),,23053497,(p=6.04e-04),,27176505,(p=9.01e-04),,28424227,(p=1.10e-03),,27387452,(p=1.10e-03),,19424623,(p=1.50e-03),,18599488,(p=1.90e-03),,28108622,(p=2.50e-03),,28459212,(p=2.60e-03),,22948392,(p=2.60e-03),
58,58,7515,XRCC1,-,1113,66,3.836e-63,25476899,(p=2.07e-04),,23225521,(p=2.09e-04),,23708312,(p=3.01e-04),,23451157,(p=3.01e-04),,9584196,(p=3.01e-04),,14500814,(p=7.01e-04),,15498778,(p=9.00e-04),,17603793,(p=1.10e-03),,18509181,(p=1.20e-03),,11948190,(p=1.30e-03),
