,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
28,28,5595,MAPK3,-,1306,192,2.541e-181,20038816,(p=9.39e-05),,17526808,(p=9.93e-05),,21444628,(p=2.01e-04),,20009539,(p=4.04e-04),,12689928,(p=4.04e-04),,22388352,(p=4.06e-04),,20203690,(p=5.00e-04),,24040019,(p=5.01e-04),,24239461,(p=5.01e-04),,27259234,(p=5.02e-04),
29,29,1027,CDKN1B,-,929,167,7.787e-181,23982416,(p=1.02e-04),,21062737,(p=1.04e-04),,21054888,(p=2.00e-04),,23907123,(p=3.00e-04),,26313918,(p=3.02e-04),,18393360,(p=4.00e-04),,14871979,(p=4.05e-04),,21813412,(p=4.06e-04),,25228008,(p=5.02e-04),,19636294,(p=5.02e-04),
30,30,841,CASP8,-,789,156,1.367e-179,19684859,(p=8.49e-05),,21724551,(p=9.47e-05),,19773432,(p=1.01e-04),,22173242,(p=4.00e-04),,20087649,(p=4.02e-04),,17585337,(p=4.05e-04),,21801448,(p=4.06e-04),,24577083,(p=4.07e-04),,19524512,(p=4.07e-04),,27465556,(p=5.00e-04),
31,31,2309,FOXO3,-,513,134,1.71e-179,26310353,(p=8.57e-05),,18312651,(p=9.77e-05),,20978166,(p=9.86e-05),,26470790,(p=1.01e-04),,27452907,(p=1.04e-04),,23085518,(p=2.00e-04),,21092744,(p=3.03e-04),,25791921,(p=4.00e-04),,18393360,(p=4.00e-04),,20169663,(p=4.01e-04),
32,32,5366,PMAIP1,-,122,82,3.16e-169,27521572,(p=8.56e-05),,21628457,(p=8.89e-05),,20935673,(p=1.00e-04),,25210795,(p=1.00e-04),,25922916,(p=2.01e-04),,15299072,(p=2.01e-04),,22219388,(p=4.02e-04),,24387758,(p=4.03e-04),,26578344,(p=4.04e-04),,25829494,(p=4.04e-04),
33,33,3091,HIF1A,-,2688,247,3.906e-166,24362462,(p=1.00e-04),,20706634,(p=1.03e-04),,16596228,(p=1.03e-04),,23785417,(p=4.00e-04),,19128456,(p=4.00e-04),,20169663,(p=4.01e-04),,24220190,(p=4.03e-04),,25105148,(p=4.05e-04),,27821815,(p=4.05e-04),,19838207,(p=4.05e-04),
34,34,4851,NOTCH1,-,1098,160,2.49e-161,18593923,(p=3.01e-04),,25213258,(p=4.01e-04),,16651424,(p=4.06e-04),,18469855,(p=4.06e-04),,24885920,(p=5.02e-04),,23289374,(p=5.03e-04),,19057901,(p=6.01e-04),,21326611,(p=7.00e-04),,16688224,(p=7.00e-04),,23500524,(p=7.01e-04),
35,35,4193,MDM2,-,1687,191,1.755e-160,26556313,(p=9.59e-05),,27736841,(p=9.99e-05),,19934289,(p=1.01e-04),,26228206,(p=1.01e-04),,26070072,(p=1.02e-04),,27550999,(p=1.03e-04),,25501825,(p=1.03e-04),,25312347,(p=2.01e-04),,25567130,(p=4.00e-04),,26720344,(p=4.01e-04),
36,36,1499,CTNNB1,-,2298,219,4.474e-159,21949397,(p=9.18e-05),,26311743,(p=3.01e-04),,23707389,(p=3.02e-04),,27431312,(p=4.04e-04),,21505183,(p=4.05e-04),,19018094,(p=5.01e-04),,24399733,(p=5.02e-04),,25650440,(p=5.03e-04),,27481517,(p=6.00e-04),,24303084,(p=6.01e-04),
37,37,2065,ERBB3,-,443,109,1.247e-151,24044505,(p=9.86e-05),,21741919,(p=4.01e-04),,23866081,(p=4.02e-04),,23780344,(p=4.03e-04),,26595522,(p=4.04e-04),,24667376,(p=4.05e-04),,21278786,(p=4.05e-04),,25112701,(p=4.06e-04),,27358485,(p=4.07e-04),,25471734,(p=5.00e-04),
